Review,Star,Processed_Review
다른 후기들보고 제 사이즈에는 L이 맞을거같아서 샀는데 허리가 좀 크네요!! 길이감이나 품질은 완전 좋아요!! 허리가 큰 대신 두꺼운 옷 넣어서 입기 좋네요 ㅎㅎ,5.0,다른 후기들 보고 제 사이즈에는 L이 맞을 거 같아서 샀는데 허리가 좀 크네요 길이감이나 품질은 정말 좋아요 허리가 큰 대신 두꺼운 옷 넣어서 입기 좋네요
편하게 입기 좋아용 ㅎㅎ 155/47 기준 허리가 조금 크긴해용,5.0,편하게 입기 좋아요 기준 허리가 조금 크긴 해요
"골반이 작은편이여서 딱맞는거 찾기 힘든데 처음 입었을때 아....작은가하고서 입었고,반품해야하나 했어요.
입을때 골반에서 조금 힘든가 싶어서요
허리는 여유로운데 골반에서 좀 그런것 같아서요
근데 다시 입어보니 딱 맞는 치마이고,레깅스 입고도  잘입었습니당
허리가 아닌 골반에 맞춰서 사세용
무탠다드는 XS있어서 좋고,착한가격에 사계절 입기 좋고,길이감도 딱이에용",5.0,골반이 작은 편이어서 딱 맞는 거 찾기 힘든데 처음 입었을 때 아 작은가 하고서 입었고 반품해야 하나 했어요 입을 때 골반에서 조금 힘든가 싶어서요 허리는 여유로운데 골반에서 좀 그런 것 같아서요 근데 다시 입어보니 딱 맞는 치마이고 레깅스 입고도 잘 입었습니다 허리가 아닌 골반에 맞춰서 사세요 문탠 다 드는 XS 있어서 좋고 착한 가격에 사계절 입기 좋고 길이 감도 딱이에요
오랜만에 입어보는 데님 스커트네요 입고 워커신으면 이뻐요,4.0,오랜만에 입어보는 데님 스커트네요 입고 워커 신으면 이뻐요
뱃살 대마왕이라서 걱정했는데 좀 힘들긴하지만 그래도 들어가요! 살 조금만 더 빼면 편하게 입을수있을듯해요,5.0,뱃살 대마왕이라서 걱정했는데 좀 힘들긴 하지만 그래도 들어가요 살 조금만 더 빼면 편하게 입을 수 있을듯해요
"옷 리뷰 한번에 쓰려고 착장이 이상한데 ㅋㅋ
딱붙게 작게 입는게 핏이 더 예뻤을거같아요
한사이즈 작게 M으로 살걸그랬어요
치마 자체는 좋아요",4.0,옷 리뷰 한 번에 쓰려고 착장이 이상한데 딱 붙게 작게 입는 게 핏이 더 예뻤을 거 같아요 한 사이즈 작게 M으로 살 걸 그랬어요 치마 자체는 좋아요
"지금까지 무신사에서 주문하면서 이런적은 처음이라 당황스럽고 찝찝합니다

월요일까지 도착한다고 했는데 3일 내내 한 장소에 택배가 머물러 있다가 목요일에서야 받았어요
그리고 포장은 마치 누군가 잡아 뜯은거 처럼 뜯겨져 있었어요…",5.0,지금까지 무신사에서 주문하면서 이런 적은 처음이라 당황스럽고 찝찝합니다 월요일까지 도착한다고 했는데 일 내내 한 장소에 택배가 머물러 있다가 목요일에서야 받았어요 그리고 포장은 마치 누군가 잡아 뜯은 거처럼 뜯겨져 있었어요
"첫구매라 저렴하게 구입했는데 너무너무 이뿌고 싸이즈도 딱이어라구요
색도 너무 이뻐서 너무 맘에 들었어요
무신사 제품이 고퀄이라고 생각했어요
가성비 좋아요",5.0,첫 구매라 저렴하게 구입했는데 너무너무 이쁘고 사이즈도 딱이어라고요 색도 너무 이뻐서 너무 맘에 들었어요 무신사 제품이 고퀄이라고 생각했어요 가성비 좋아요
생각했던 것보단 짧은 것 같았는데 입어보니 괜찮았어용 예뻐요,5.0,생각했던 것보단 짧은 것 같았는데 입어보니 괜찮았어요 예뻐요
딱 원하던 기장입니다! 너무 짧지도 길지도 않아서 휘뚜루마뚜루 잘 입고 다닐 수 있을 것 같아요!! 역시 무탠다드 강추합니당!,5.0,딱 원하던 기장입니다 너무 짧지도 길지도 않아서 휘뚜루마뚜루 잘 입고 다닐 수 있을 것 같아요 역시 무탠다드 강추합니다
