Star,Review
5.0,세일해서 구매했어요. 사이즈 딱 맞네요. 재질도 가볍고 좋아요 ㅎㅎ
5.0,세미 오버 느낌으로 편하게 입을 수 있습니다. 쿨탠다드라 시원하네요.
5.0,평소에 XL 주로 입는데 이거는 L가 핏도 좋구 딱 맞더라구요!
5.0,확실히 얇진 않아요. 그래서 각이 사는듯! 봄가을초여름까진 잘 입을거같아요
5.0,가성비 최고 입니다. 사이즈 딱좋네요. 다만 여름에 입기엔 더울것 같습니다.
5.0,정장 형식으로 입어야 할 일이 생겨서 급하게 구매했는데 좋아요
5.0,핏 괜찮습니다. 다만 조금 두꺼워요 초가을에 입으면 좋을 것 같아요
5.0,이뻐요 어디든 잘어울릴것같아요 기본템으로 꼭 
5.0,어쩔수없이 긴팔 자켓을 입어야 해서 사게됐는데 여름옷처럼 시원해서 그나마 버틸만하네요
5.0,예예 이쁩니다 잘입을게요 크기도 잘맞고 많이덥지도않아유
4.0,"한여름 자켓은 어쩔수 없이 더울 수 밖에 없겠지만, 흰티와 회색 체크바지와 매치하면 깔끔하게 떨어집니다. "
4.0,생각보다 많이 시원하진않을꺼 같은데 선물햇는데 맘에들어하네요
5.0,"한여름에 못입어요, 기대하면 안되요, 쿨탠다드 슬랙스 두께 생각하고 사면 안됩니다. 전혀 다르게 두꺼워요 대신 두꺼운만큼 핏감은 좋아요, 여름에 무슨 자리에 잠깐 걸치기 위해서 정도 입고 좀 덜더울때 활용해야될것 같아요"
5.0,옷걸이까지오고 사이즈도 적당하고 너무 좋게 잘 입었어요~~
5.0,옷이 잘 맞아요 좋아요 배송 빨라요 팔소매가 약간 길어요
5.0,시원한 소재라 꽤 입을거 같네요 디자인도 예뻐요
5.0,한여름에 입기는 힘들 것 같아요 린넨류가 아니라서
5.0,무신사 블레이저는 실패가없어서 좋아요 쿨탠다드라 냉감이 있어서 좋아요
4.0,얇긴 하지만 린넨이나 시어서커 소재의 블레이저 만큼 한여름에도 입을 수 있을 정도로 얇진 않아요.
4.0,릴렉스드라는 이름대로 확실히 크긴크네요. 와이드팬츠랑 입으면 잘 어울립니다.
4.0,린넨보다는 약간 두껍지만 그래도 초 여름에 격식차리기 좋을 두께네요
5.0,블레이저치고는 진짜 얇음 20도까지 참고 입을만 함
5.0,한여름에는 더워서 좀 무리가 있겠지만 그래도 얇고 활용도 높은 블레이저 같아요 잘 입을개요 굳
5.0,초여름까지는 입을 수 있는 두께입니다. 이보다 얇으려면 린넨뿐이 없을거 같구. 핏이 딱 예쁘고 좋습니다. 검정색색자체도 예쁘게 잘나온거 같아요.
5.0,봄과 초 여름이 입기에 너무 좋은것 같아요! 너무 두껍지도 않고 그렇다고 너무 얇지도 안아서 좋아요
5.0,구김이 조금가긴하지만 잘다려입으면 가성비좋은거같아요
5.0,어깨가 살짝 작지만 한치수크면  길이가 너무 길어질서같아 조금 핏하게갑미다
5.0,약간 오버핏 느낌도 있습니다. 정사이즈 가시면 됩니다.
4.0,얇지만 한 여름에는 좀 덥겠네요. 사이즈 좋습니다.
5.0,전체적으로 되게 깔끔하고 마음에 듭니다. 추천합니다
5.0,"어깨-가슴-등짝이 넓데데 한 편이라 블레이저, 슈트 맞추기가 어렵다. 특히 온라인에서는. 오버핏을 살까 고민하다 여름용으론 릴렉스드까지밖에 없어 고민하고 구매했다. 결론부터 말하자면 길이, 핏감이 이 체형에 이렇게 맞는 옷은 정말 오랜만이라 기분이 좋았다. 하나 건의하자면 오버핏 블레이저도 있던데 혹시 쿨탠다드버전으론 낼 생각이 없을지... 아 혹시 이미 있었나. 있었다면 아마 품절이었는지 재고를 못본것같다...."
5.0,여름용 마이가 필요했는데 좋네요 여름정장 코디하기에 최적입니다. 
5.0,한개쯤 있으면 좋을 기본템인 것 같습니다. 잘 구매햇어요
5.0,베이직하고 편하게 잘 입을 수 있어요. 아주 시원하지 않지만 좋아요.
5.0,저렴한 가격에 여름에 입기 좋은 캐쥬얼 정장입니다.
