Star,Review
5.0,얇아서 여름에 입기 좋아요 많이 얇으니까 참고하세요
5.0,세일할 때 갓매  사고싶었던 느낌 그대로 완전 만족 투웨이 별다섯개 
5.0,얇아서 지금 입기 딱 좋아요 바뮤다팬츠랑 찰떡궁합
5.0,얇고 가벼워서 여름에 입기 딱 좋은것같습니다 강추
4.0,재질은 별로라는 후기를 많이 봤눈데 약간 비닐봉투 같기는 하네요 그래도 핏은 예쁘고 여기저기 걸치기 좋을 것 같아요 싼티는 많이 안나요!!
5.0,너무 이쁘네요. 얇고 가벼워서 입어도 안 입은거 같은 느낌? 위에 걸쳐주기만 해도 괜찮네요. 여름에도 입기 좋네요!
5.0,배송 완전 빨라요! 늦진 않을까 걱정도 했는데 괜찮구요 스트링도 있어서 코디하기도 완전 괜찮고 시원시원해서 넘 좋아요
5.0,여름에 무난하게 걸치기 좋아요~ 기장 애매해서 스트링 살짝 조이는게 확실히 이쁨
4.0,여기저기에 잘입을수 있을거같아요 배송빠르네요
5.0,가볍고 예뻐서 여름에도 가능해요 자주입을꺼같아요
3.0,화면이랑 색감도 비슷하고 사이즈도 좋음 자주 입을 거 같네요
5.0,무난무난하게 입고 포인트 주기 딱 좋은 제품입니다!
5.0,배송 정말 빨랐고 이 상품은 정말 살집 있으신 분들이 여름에 흰 반팔 입고 싶으실 때 야외에서는 이거 입고 안에서는 벗으면 딱 좋을 것 같아요 !! 사이즈도 넉넉합니다 
5.0,사이즈 넉넉하고 딱 제가 원하는 스타일대로 코디가 가능해서 너무 좋아요 !! 약간 다른 조끼도 사봤는데 낚시꾼 같았는데 이건 ㄹㅇ 너무 이쁩니다 힙해보여요 사람이 🫨🫨
5.0,여름에 포인트 주기 딱이네용 휴가 나와서 잘 입었읍니다
5.0,소재가 되게 신기하네요 여름에 반팔위에 입으면 덥지않을까 했는데 엄청 얇고 섬유가 별로 촘촘하게 있지않아서 문제 없음
5.0,얇고 바스락거리는 재질이라 여름에도 잘 입을 거 같아요
5.0,티 위에 입을 조끼 필요해서 샀는데 매일 입어요 가벼워서 좋아요
5.0,얇아서 여름에 입기 좋아요~  이정도가격이면 가성비좋네요
5.0,재질 엄청 얇고 바스락거리는 재질이라 힘이 없지만 스트릿하게 코디할 수 있어요
5.0,힙해진?듯?옷이 넘 멋찜! 독서실 갈 때 입고싶은데 바스락땜시.. 근데 은근 더워가지고요!! 암튼 킹만족
5.0,사이즈 완전 딱 맞아서 매우 만족스럽슴다 핏도 이쁘구여 좋은 가격에 산듯
5.0,첨에 받고 좀 작은거 같아서 교환하려다가 계속 보니 이 사이즈도 예쁜거 같아 그냥 입어요.! 여름에 포인트 주기 너무 좋은옷입니다. 다만 밖에 나가면 이 옷 입은 사람이 꽤 있지만 옷이 예쁜걸 어쩌겠어요..ㅎㅎ 잘 입겠습니다!
5.0,키득 사람들마니입어서사봄바스랃바스락패션아이탬 꿀
5.0,"169cm, 65kg 사이즈 딱 예쁘게 잘 맞고 레이어드해서 입기 적당하네요. 두께도 얇아서 좋네요."
5.0,재질이 되게 바지락거릴 거 같은 재질인데 소리가 덜 나서 좋았고 얇아서 여름에 걸치기에 부담이 없습니다.
1.0,"재질은 얇은 바람막이,무게는 가볍고,사이즈 제 사이즈 이네요. 근데 너무 싸구려 중국산! 제품 받아보니 너무 싼티나는데 가격이 너무 비쌌네요. 무신사에서 구매한 제품 중 최악의 구매였습니다."
5.0,시원시원하고 여름에 입기 진짜 좋은거같아요 핏도 엄청 이뻐서 만족하고있습니다
5.0,꼭 하나쯤은 가지고 있어야 될거 같아요!! 너무 이쁩니다 ㅎㅎ
5.0,등산 아저씨룩 같아서 너무 맘에 들어요 엄청 가벼운 바스락 재질에 약간 방수(?)기능도 있는 것 같아요
5.0,L로 샀는데 사이즈 적당하고 고프코어 첫도전하기 좋아요 
5.0,이뻐요 !!! 살짝 바스락거리는 제질이에요 비닐은 아닌데 비닐같은 느낌이 나는 ..? 어마어마하게 얇아요. 그래서 여름에 입기 넘 좋을 것 같아요.!!
5.0,생각보다도 엄청 얇아요! 얇아서 여름에 덥지않고 무난하게 포인트 주기 좋은 아이템인 것 같습니다! 
