Star,Review
5.0,아이가 주문해달라고 해서 구입했어요. 백화점에선 비슷한옷이 16만원이라고 하네요. 아이가 입어보고 와서 비슷한걸 무신사에서 골랐는데 사이즈가 큰사이즈만 있어서 고민했는데 루즈핏으로 입는다고 해서 샀더니 좋아합니다~ 가방을 아래로 메서 그런지 하단에 보플이 좀 생겨서 아쉬워요
5.0,기본아이템최강자입니다 막입어도꾸안꾸되는느낌
5.0,근본중의 근본옷입니당  다시유행중이라 샀는데 짱이뻐요   177 85 기준  투엑라 괜찮았습니다  져지  말모 ㅋㅋ 밑단시보리가 짱짱해서  크게입는거도 괜찮을듯해요   (신발은 사정상  로퍼 신음 )
5.0,176 마른체형 오버사이즈로 입으려고 구입했는데 좀 마니 널널하긴 해요. 같은 키라도 어깨나 몸집이 조금 더 있으면 살짝만 넉넉하게 잘 맞을듯요. 그라도 편하다 하구 바람막이보다 부드러워서그런지 교복처럼 엄청 입고다닙니다
5.0,아디다스 파이어버드져지 오버한맛으로 입고싶어서 2XL선택했는데 아주 좋습니다 ㅎㅎ 
5.0,구매할 때 원하는 사이즈가 없어서 큰 사이즈를 샀는데 크긴 하지만 생각보다 오버핏으로 괜찮은 것 같아요 !
5.0,정말 매일입고 있습니다 환절기에 툭걸치기 딱 좋고 적당히 여유있는 하의에는 거의 잘어울려요
5.0,크게 입고싶어서 xl로 구매했어요 역시나 너무 맘에 드네요
5.0,아이들 교복에 걸쳐입기 좋아요. 배송 빠르고 가격도 적당합니다~
5.0,패딩이나 자켓 안에 이너로 입으려고 샀는데 어딜 입든지 이쁘네요. 살짝 커서 숏 자켓에 입으면 나오긴 한데 이뻐요
5.0,생각보다 따뜻해요 163기준 기장은 엉덩이 덮는데 시보리 짱짱해서 골반에 걸쳐입어요 팔기장이 길어서 더 예뻐요!
5.0,공홈에서 샀다가 사이즈 커서 바꾸는 김에 여기서 샀는데 할인도 잘 받았어여
5.0,사이즈도 알맞고 착용감 너무 좋았습니다 재구매의사 있음
5.0,아디다스의 붐은 계속 된다! 정말 미니멀하고 이쁘네요
5.0,기모안감 살짝 있다는 분들 많은데 기모라기보단 그냥 좀 부들부들한 재질이라고 생각하세요 얇아서 기모같지도 않고 별로 안따뜻함 시보리 짱짱한거 싫으면 파이어버드는 좀 안맞으실 것 같고 제 몸에는 M이 딱 적당히 오버핏으로 맞고 시보리때문에 골반으로 자연스럽게 떨어짐 s는 시보리 골반 위로 떨어지게 입으실분들이 사시면 될 듯 L 시켰다가 M으로 교환했ㄴ데 L은 시보리고 뭐고 걍 완전 크게 엉덩이 덮고싶은분들이 사셍욤
5.0,배송이 엄청 빨리요👍 디자인은 엄청 예쁨 사이즈는 적당
5.0,옷은 얇은 편이고 배송도 빨리 왔어요 제 키가 165 정도인데 m 입으면 딱 엉덩이 다 덮는 정도예요
5.0,너무너무 예쁘고 핏도 좋아서 앞으로 자주 입을것 같아요
5.0,183cm 73kg 마른편입니다! 옷 특성상 봄 여름 가을 겨울 사계절 내내 무난하게 입을수 있을거같아요! 코디도 잘 활용할수 있을거같아요 ㅎㅎ 2XL 주문했는데 전체적인 핏은 잘 맞고 총 기장이 살짝 오버한 느낌이네요! 너무 크진 않아서 이쁜 오버핏? 정도 될거같아요. 배송도 빠르고 옷도 너무 마음에 듭니다!!
5.0,져지 갖고 싶었는데 잘 산 것 같아요 가격에 비해 재질이 얇은 것 같기도 해여 그래도 자주 입을 것 같아요
4.0,엑스라지로 사니까 너무 커서 라지로 바꾸고 싶은데 이미 택을 떼어내서 그냥 입고 있어요 크긴 하지만 예뻐서 괜찮아요
5.0,사이즈가 딱 맞아요 5일동안 기다린 보람이 있군요 이쁘게 잘 입을게여
5.0,근본은 실패하기 어려운 거 아시죠??? 혁명입니다. 사이즈 엄청 크지 않아요! 그냥 살짝 세미? 정도네요!
5.0,진짜 마음에 듭니다. 꾸안꾸 느낌 뭔지 아시죠들? 걍 와이드청바지 매치하면? 바로 패션인터뷰 하러가기~
5.0,공용이라서 그런지 길이가 엉덩이를 다 덮고도 허벅지 반이 와요 근데 그럼에도 불구하고 너무 이쁘다고 아이가 좋아해요
5.0,크게입는거 좋아해서 만족합니다 아무렇게나입기좋아요
5.0,착용감 완전 얇고 편함 그 자체.. 핏도 너무 예쁘고 봄에 교복위에 올려입기 좋을것같습니당 근데 좀 커서 한사이즈 작게사면 핏하게 입을수 있을것같아요!!
5.0,완전 강추네요. 쌈@뻥한 옷이에요. 강추강추강추강추강추.
5.0,근본 아디다스 져지 샀습니다 역시나 추천입니다
5.0,재질 좋고 품질 좋고 색감 좋고 디자인도 좋아요 완전 대박
5.0,디자인 너무 마음에 들고 배송이 진짜 빨라요 가격은 이동도에 브랜드값이면 좋다고 생각하고 강추합니다 굳굳
