Star,Review,Processed_Review
5.0,사진 찍는데 와서 누워서 그냥 찍었어요ㅋㅋ 생각보다 크긴 한데 소매가 좀 긴 거 빼고는 핏은 좋습니당,사진 찍는데 와서 누워서 그냥 찍었어요 생각보다 크긴 한데 소매가 좀 긴 거 빼고는 핏은 좋습니당
5.0,이뻐요 그리고 싸요 그리고 편해요 그래서 좋아요,이 뻐요 그리고 싸요 그리고 편해요 그래서 좋아요
5.0,이너로 입기에도 좋고 아우터로 입기에도 좋네요 잘  샀어요!,이너로 입기에도 좋고 아우터로 입기에도 좋네요 잘 샀어요
5.0,이쁜데 팔이 너무 김 개이쁨개이쁨갤이쁨개이쁨,이쁜데 팔이 너무 김 개이쁨 개이쁨갤 이쁨 개이쁨
5.0,루즈한 핏으로 누구에게나 잘 어울릴만한 후드집업이에요  촉감도 좋고 다 좋은데 지퍼가 부드럽지 못한게 아쉽네요 중간에 걸릴때가 있어요,루즈한 핏으로 누구에게나 잘 어 울릴 만한 후드 집업이에 요 촉감도 좋고 다 좋은데 지퍼가 부드럽지 못한 게 아쉽네요 중간에 걸릴 때가 있어요
4.0,팔이 좀 기네용 저만 그런지는 모르겠는데 아무튼 그래서 가끔 헤렐렝 다니면 긴팔원숭이 같아요,팔이 좀 기네 용 저만 그런지는 모르겠는데 아무튼 그래서 가끔 헤렐렝 다니면 긴 팔 원숭이 같아요
5.0,흘러내리게 입으니 좋아요 조금만 더 지나면 입어도 될 것 같아요 밖에서 입으면 아직은 좀 더워요,흘러내리게 입으니 좋아요 조금만 더 지나면 입어도 될 것 같아 요 밖에서 입으면 아직은 좀 더워요
5.0,그냥 진짜 무난해요 뭐 하나 걸쳐야 될 때 막 입기 좋습니다,그냥 진짜 무난해 요 뭐 하나 걸쳐야 될 때 막 입 기 좋습니다
5.0,밤에는 춥던데 간단하게 걸쳐입기 딱 좋고 예뻐요,밤에는 춥던데 간단하게 걸쳐 입기 딱 좋고 예뻐요
5.0,팔부분에 비해 기장이 약간 짧은 감이 있긴 한데 핏 예쁘구요 안이 살짝 까끌? 거칠다고 느낄 수도 있긴 한데 불편할 정도는 아니에요 좀 무거운 느낌이에요 근데 조음^^,팔 부분에 비해 기장이 약간 짧은 감이 있긴 한데 핏 예쁘구요 안이 살짝 까 끌 거칠다고 느낄 수도 있긴 한데 불편할 정도는 아니에 요 좀 무거운 느낌이에요 근데 조음
5.0,두께도 적당하고 단독으로 입거나 아우터안에 입기 좋아요ㅎㅎ 길이나 사이즈 다 마음에 들어오,두께도 적당하고 단독으로 입거나 아우터 안에 입 기 좋아요 길이나 사이즈 다 마음에 들어오
5.0,오버핏인줄은 알앗는데 커요 아니진짜 커요 엄청 큼 그냥 너무 큼 길이는 짧고 품만 엄청 큼 그래도 잘 입을게요,오버핏인 줄은 알 앗는데 커요 아니 진짜 커요 엄청 큼 그냥 너무 큼 길이는 짧고 품만 엄청 큼 그래도 잘 입을 게요
5.0,"진짜 제 교복, 처음에는 크게 입고 싶어서 큰 맘 먹고 L 샀는데 와 이건 해도 해도 너무 크구나.. 했지만 너무 편하고 너무 예뻐서 맨날 입고 다니고 학교에서 여름 때는 에어컨 때문에 추울 때도 맨날 입고 있고 좋아요",진짜 제 교복 처음에는 크게 입고 싶어서 큰 맘 먹고 샀는데 와 이건 해도 해도 너무 크구나 했지만 너무 편하고 너무 예뻐서 맨날 입고 다니고 학교에서 여름 때는 에어컨 때문에 추울 때도 맨날 입고 있고 좋아요
5.0,아 이쁘다 매일 입고싶어서 기모랑 논가모 둘다삼 헤헤 그냥 사세요 어디든 무난무난함 후기 빠꾸시키기만 해봐  그럼나 화나용 ~~ ><,아 이쁘다 매일 입고 싶어서 기 모랑 논가 모 둘 다 삼 그냥 사 세요 어디든 무난무난함 후기 빠꾸시키기만 해봐 그럼 나 화나 용
5.0,너어무 이뻐요 옷 오자마자 바로 입고 나갔는데 친구들이 다들 예쁘다고 난리에요ㅠ 소매가 조금 길긴한데 불편하거나 거슬리지는 않아용,너어무 이 뻐요 옷 오자마자 바로 입고 나갔는데 친구들이 다들 예쁘다고 난리에 요 소매가 조금 길긴 한데 불편하거나 거슬리지는 않아 용
1.0,별한개도주기시러요자퍼가안잠김지퍼잠구는요령이생겻다는거자체가개빡침,별 한 개 도주기 시러 요자퍼가 안잠김지 퍼잠구는 요령이 생겻다는 거 자체가 개빡침
