Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
프린팅 퀄 좋습니다 핏도 무난하게 잘 뽑혔 구 재질도 해서 잘 입을 거 같아요,,"뽑히다, 재질, 프린팅, 핏","뽑히다, 재질, 프린팅, 프린팅퀄, 핏"
예상대로 좋은 상품입니다 클론이 많을 것으로 예상되긴 하지만 블프 할인 때 안산걸 후회 중이에요," 후회,  상품,  블프","대로, 많다, 블프, 상품, 중이, 클론, 할인, 후회","대로, 많다, 블프, 상품, 안산, 안산 걸, 에요, 예상, 예상 되다, 예상대로, 중이, 클론, 할인, 후회"
옷이 너무 예뻐요 한 코디에 포인트로 주기 좋아요,,"주기, 코디, 포인트","주기, 코디, 포인트"
일단 재질이 너무 얇지 않지만 비침은 없는 두께라 좋아요 프린팅이 가장 맘에 들어 샀기 때문에 디자인 프린팅은 굉장히 만족스러웠고 기장이 좀 긴 편이라서 넣입도 괜찮고 반바지에 매치하면 더 이 쁠 거 같은 느낌이네요, 반바지,"가장, 기장, 넣다, 디자인, 매치, 반바지, 재질, 편이, 프린팅","가장, 굉장하다, 기장, 넣다, 느끼다, 디자인, 때문, 라서, 만족스럽다, 매치, 반바지, 비치다, 입도, 재질, 편이, 프린팅"
남친이랑 커플룩 으류 몰래 서프라이즈 해줬는데 마음에 들어 해서 너무 기 뻤어요, 커플룩,"남친, 류, 몰래, 서프라이즈, 커플룩, 해주다","기쁨, 남친, 류, 몰래, 뻤어, 서프라이즈, 으, 커플룩, 해주다"
프린팅 이쁘고 원단도 얇은 원단이라 아주 좋아요 꾸안꾸처럼 카고 팬츠랑 입으면 최고입니다, 프린팅,"꾸안꾸, 얇다, 원단, 최고, 팬츠, 프린팅","꾸안꾸, 얇다, 원단, 처럼, 최고, 카, 카팬츠, 팬츠, 프린팅"
조금 큰 오버핏입니 두 기준 엉덩이 다 덮는 기장이구요 그치만 프린팅이 너무 예뻐서 후회는 없습니다 소매 접어서 입으면 이 뻐용,,"그치다, 기장, 기준, 뻐용, 소매, 엉덩이, 오버핏, 이구, 접다, 프린팅","그치다, 기장, 기장 이구, 기준, 덮다, 뻐용, 소매, 엉덩이, 오버핏, 이구, 접다, 프린팅, 후회"
사이즈 하니 좋네요 아들이 마른 체형이라 오버핏으로 잘 입어요 디자인도 무난하고 두께감도 얇지도 두껍지도 않게 적당하네요, 디자인,"두께감, 디자인, 사이즈, 아들, 얇다, 오버핏, 적당하다, 체형","두껍다, 두께감, 디자인, 마르다, 사이즈, 아들, 얇다, 오버핏, 적당하다, 체형"
딱 원했던 여유로운 핏이라 편하고 자주 입게 되네요 최근 들어 가장 맛있는 티셔츠,,"가장, 맛있다, 원하다, 최근, 티셔츠, 편하다, 핏","가장, 로운, 맛있다, 맛있다티셔츠, 여유, 여유로운핏, 원하다, 최근, 티셔츠, 편하다, 핏"
프린팅 색감이 진하지 않아서 좋은 듯 청바지랑 너무 잘 어울리고 티셔츠 하나로도 포인트 주기 좋아 여 옷 재질도 많이 두껍지 않고 여름 입기 좋을 기본템, 티셔츠,"기본, 색감, 어울리다, 재질, 진하다, 청바지, 티셔츠, 포인트, 프린팅","기본, 두껍다, 색감, 어울리다, 재질, 주기, 진하다, 청바지, 티셔츠, 포인트, 프린팅, 하나로"
메종 미네드는 락시크나 댄디룩이 주류인 브랜드인 줄 알았는데 이런 찐 스트릿맛 반팔티 출시해 주셔서 너무 감격이네요 이런 다잉반팔티 찾고 있었는데 저렴한 가격으로 이런 개성 있는 프린팅의 반팔티 구매할 수 있어서 너무 좋습니다,,"감격, 개성, 락시크, 브랜드, 출시, 티, 프린팅","가격, 감격, 개성, 대다, 대다 디, 대다디룩, 락시크, 맛, 메종, 메종미네드, 브랜드, 스트릿, 스트릿맛, 알다, 잉, 잉 티, 잉팔티, 저렴하다, 주다, 주류, 찌다, 찾다, 출시, 티, 팔, 팔티, 프린팅"
저번부터 사고 싶었는데 무진장 할인해서 구매했는데 너무 만족해요 사이즈도 딱 적당하고 버뮤다 팬츠에 입으면 완전 찰떡 궁합입니다 프린팅도 너무 귀엽고 다른 색상도 사고 싶네요, 색상,"궁합, 귀엽다, 만족하다, 무진장, 사이즈, 색상, 팬츠, 프린팅, 할인","궁합, 귀엽다, 만족하다, 무진장, 버뮤다, 버뮤다팬츠, 사고, 사이즈, 색상, 저번, 적당하다, 찰떡, 팬츠, 프린팅, 할인"
박시한 옷 도 전해 봤는데 생각보다 깔끔하고 이 쁘네 여 핏도 좋고 체형도 잘 잡아줍니다, 체형,"깔끔하다, 시한, 잡다, 전해, 줍다, 체형, 핏","깔끔하다, 깔다끄다, 박, 박 시한, 시한, 잡다, 잡다 줍다, 전해, 줍다, 체형, 핏"
여름에 활용하기 좋고 재질이나 핏이 너무 맘에 들어요, 재질,"여름, 재질, 핏, 활용","여름, 이나, 재질, 핏, 활용"
그냥 무지 티보다 앞에 프린팅이 있어서 세련된 느낌도 나 고 어느 바지에 나 잘 어 울릴 거 같아 요 약간 오버핏이라 평소 입던 사이즈보다 한 치수 다운해서 주문했는데 핏이 딱 맞네요 잘 입을 게요,,"다운, 맞다, 바지, 사이즈, 세련되다, 오버핏, 울리다, 프린팅","그냥, 다운, 맞다, 무지, 바지, 사이즈, 세련되다, 오버핏, 울리다, 주문, 치수, 티보, 평소, 프린팅, 핏"
제일 작은 사이즈 로 샀는데도 여성분들 크실 거 같아 요 저도 덩치가 작은 편은 아닌데도 좀 큰 감이 있어요 하지만 잘 입는 중,,"분들, 사이즈, 아니다, 여성, 작다, 치가, 크다","덩, 덩 치가, 덩치, 분들, 사이즈, 아니다, 여성, 여성분, 작다, 제일, 중, 치가, 크다"
깔끔하고 무난해 요 아들이 마음에 들어 하니 다행이네요,,"깔끔하다, 다행, 아들","깔끔하다, 깔다끄다, 다행, 아들, 아들다행"
택배 포장부터 감성 있고 핏 두께 진짜 잘 뺐네요 무엇보다 프린팅이 너무 예쁘구 유니크해요, 유니크,"감성, 두께, 빼다, 유니크, 포장, 프린팅","감성, 두께, 빼다, 유니크, 택배, 택배포장, 포장, 프린팅, 핏두께"
프린팅 예쁘고 두께 적당해서 여름에 입 기 좋아요,,"두께, 여름, 적당하다, 프린팅","두께, 여름, 적당하다, 프린팅"
입어보자마자 바로 구매 확정 누르고 텍 떼 버렸습니다 메종미네드 옷 매번 어두운 옷만 사 서 잘 몰랐었는데 이 정도로 핏 예쁘게 나오는 줄 몰랐어요 몸 완전 커 보이고 너무 맘에 들어 요 옷도 적당히 얇아서 덥지도 않고 넥 라인 완전 해서 늘어남 걱정도 없고 잘 샀네요, 입어보다,"걱정, 덥다, 두운, 모르다, 얇다, 입어보다, 적당하다, 확정","걱정, 나오다, 누르다, 덥다, 두운, 떼버리다, 라인, 메종 미네 드, 메종미네드, 모르다, 몸, 버리다, 사서, 서다, 얇다, 입어보다, 자다, 적당하다, 줄, 크다보이, 텍, 핏, 확정"
소재는 가볍고 얇고 비치는 것이 없으며 봉재는 히 질되어 있으며 디자인도 잘 나와서 여름 시즌에 여러 번 입을 거 같네요 제 값 주고 잘 산 거 같습니다 하지만 바탕색이 흰 색 보단 아이보리 느낌이 나서 위에 사진 보다 백인이 찍은 번째 사진이 더 실제와 가깝다고 생각합니다, 백인,"가볍다, 디자인, 백인, 사진, 소재, 실제, 얇다, 여름, 재는","가깝다, 가볍다, 값, 나서다, 나오다, 디자인, 바탕, 백인, 보단, 봉, 봉 재는, 봉재, 비치, 비치다, 사진, 소재, 시즌, 실제, 아이보리, 얇다, 여름, 잘살다, 재는, 찍다, 히질"
할인 안 받고 사 서 조금 비싼 감이 있는데 입자마자 너무 맘에 들어 최 애티셔츠 돼버렸습니다,,"돼다, 받다, 버리다, 비싸다, 티셔츠, 할인","돼다, 받다, 버리다, 비싸다, 서다, 애, 애 티셔츠, 입자, 최애티셔츠, 티셔츠, 할인"
오버핏으로 무난하게 입 기 좋아요 샥상도 이 쁘고 잘 어울려요,,"샥상, 어울리다, 오버핏","샥상, 어울리다, 오버핏"
너무 예쁘고 편하고 힙하고 다 좋은데 다행히 내가 안입은 날이지만 집 근처에서 이 거 입고 지나가는 사람 본 뒤로 손이 잘 안감,,"근처, 날, 내, 다행하다, 손, 지나가다, 편하다","근처, 날, 내, 다행, 다행하다, 뒤, 사람, 손, 손감, 안감, 지나가다, 집근처, 편하다, 힙, 힙함"
그래픽 너무 예뻐요 목이 꽤 도톰하고 원단이 생각했던 거보단 두꺼워서 다행이네요, 그래픽,"그래픽, 다행, 도톰하다, 두껍다, 목, 보단, 원단","그래픽, 다행, 도톰하다, 두껍다, 목, 보단, 원단"
프린팅도 예쁘고 좋아하는 파란색이라 너무 마음에 드는 티셔츠네요,,"좋아하다, 티셔츠, 파란색, 프린팅","좋아하다, 티셔츠, 파란색, 프린팅"
이쁜 그래픽 티셔츠 찾다가 보고 구매했어요 더운 여름에도 입을 수 있는 재질과 두께 고 그래픽도 이 쁘네요, 재질,"그래픽, 덥다, 두께, 보고, 쁘네, 여름, 재질, 찾다, 티셔츠","그래픽, 덥다, 두께, 보고, 쁘네, 여름, 재질, 찾다, 티셔츠"
옷 디자인 너무 좋고 너무 마음에 듭니다 강 추입니다,,디자인,"강추, 듭니, 디자인, 추"
