Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
바지 너무 예뻐요 사이즈도 정 사이즈로 가면 될 거 같아요,,"가면, 바지, 사이즈","가면, 가성비, 루즈, 바지, 사이즈, 크게, 허리"
딱 원하던 색감이라 바로 구매했어요 사진과 똑같은 색감이고 정말 맘에 드는 버뮤다핏에 요 약간 여름 팬츠에 비해 두꺼운 감이 있지만 못 입을 정돈 아니라 좋았어요,,"똑같다, 사진, 색감, 아니다, 원하다, 팬츠","골반, 두껍다, 똑같다, 비다, 사진, 색감, 아니다, 여름, 원하다, 이고, 정돈, 팬츠, 핏"
아 진짜 너무 만족하는 바지입니다 너무 예쁘네요, 바지,"만족하다, 바지","만족하다, 바지, 색감, 세일, 핏, 활용"
생각보다 워싱이 진해서 놀랐고 허리도 조금 작은 느낌이었어요 그래도 어떻개 잘 내려서 입으면 생각했던 기장이라 만족합니당,,"기장, 내다, 느끼다, 만족하다, 워싱, 작다, 진하다, 허리","기장, 내다, 느끼다, 만족하다, 무릎, 어떻, 워싱, 작다, 진하다, 키, 핏, 허리"
바지 배송 거의 주 가까이 걸려 요 엄청 오래 걸려서 꽤 오래 기다리셔야 됩니다 배송 온 바지는 젖어 있어서 배송 상태가 별로에요 오다가 비 맞았나 싶었음 너무 함 그리고 처음 받으면 너무 더러워서 여러 번 세탁해서 입어야 될 듯 요 싼 게 비지 떡인데 진짜 그런 느낌 너무 줌,,"더럽다, 바지, 배송, 상태, 여러, 젖다","가격, 가까이, 가성비, 걸리다, 귀엽다, 기장, 다가, 더럽다, 데님, 디자인, 디테일, 마감, 망치걸이, 매치, 모양, 무게, 바지, 반바지, 배송, 버뮤다, 봉제, 비지, 상태, 색감, 세탁, 셔츠, 스타일링, 스펙, 실, 아쉽다, 여러, 오래, 오버핏, 원단, 유지, 재질, 점, 젖다, 처음, 카펜터, 타임세일, 튀어나오다, 팬츠, 핏, 하리, 힘"
짱 커요 금데 그냥 그 맛에 입으려고 산 거라 습니다 허리 수선했고 색감은 귀여워요,,"귀엽다, 그냥, 금데, 맛, 색감, 수선하다, 크다, 허리","귀엽다, 그냥, 금데, 맛, 색감, 수선하다, 여름시즌, 오버핏, 크다, 허리"
디자인이 너무 예쁘고 색깔도 마음에 들어 요 제가 원하는 핏이라 구매하길 잘했다는 생각이 드네요,,"디자인, 색깔, 원하다, 핏","기여, 디자인, 블프세일, 색감, 색깔, 원하다, 핏"
처음 뜯자마자 너무 큰 거 아닌가 생각했는데 막상 입어보니 딱 원하던 핏이에 요 맘에 드네요,,"뜯다, 막상, 아니다, 원하다, 입어보다, 처음","가성비, 동, 뜯다, 막상, 아니다, 원하다, 입어보다, 처음, 최강바지, 크다, 타임세일, 핏이"
원래 이런 용도 바지 맞죠 근본 다운 코디 한번 해봤습니다 잘 들어가는 게 완벽하네요 입는데 이라 저한텐 크네요 그래도 편한 건 둘째 셋째 치더라도 생각보다 핏감이 잘 빠졌습니다 색감도 너무 좋고요 근데 문제는 재입고가 늦어져서 지난주까지만 해도 입어도 되겠지 했는데 이번 주에 와서 이 제 못 입게 생겼다는 거,,"까지만, 색감, 용도, 지난주","가격, 가성비, 귀엽다, 근본, 기장, 까지만, 늦어지다, 다운, 데님, 둘째, 디자인, 디테일, 마감, 망치걸이, 매치, 모양, 무게, 바지, 반바지, 버뮤다, 봉제, 색감, 생기다, 셋째, 셔츠, 스타일링, 스펙, 실, 아쉽다, 오다, 오버핏, 완벽하다, 용도, 원단, 유지, 이렇다, 재, 재질, 점, 지난주, 치다, 카펜터, 크다, 타임세일, 튀어나오다, 팬츠, 편하다, 핏, 핏감, 하리, 해봤다, 힘"
버뮤다 청으로 하나 찾다가 괜찮은 가격에 구매해서 이번 여름 휘뚜루 마 뚜루 잘 입고 다니고 있습니다 마감도 좋아서 청 버뮤다 찾는다 하시면 추천드려요,,"드리다, 마감, 버뮤다, 여름, 청","가격, 드리다, 뚜루, 마감, 버뮤다, 여름, 여름시즌, 오버핏, 찾다, 청, 추천, 추천 드리다, 하나, 휘뚜루"
제가 엉덩이 쪽이 발달했는데 엉덩이까지 잘 들어가고 질감도 만족스럽습니다 다 만 너무 더우면 입긴 힘들 거 같아 요 어느 정도 두께감이 있어서,,"덥다, 들어가다, 만족스럽다, 엉덩이, 질감, 힘들다","기여, 덥다, 두께감, 들어가다, 만족스럽다, 발달, 블프세일, 색감, 엉덩이, 질감, 핏, 힘들다"
데님 가성비가 정말 최고입니다 너 무너무 만족합니다, 가성비,"가성비, 데님, 만족하다, 무, 최고","가성비, 데님, 동, 만족하다, 무, 최강바지, 최고, 타임세일"
팁 줄 요약 허리에 맞춰 사도 핏 괜찮긴 한데 에 지대로 탑승하고 싶으면 한 사이즈 크게 사서 등 짝룩으로 입고 다니는 게 좋음 스판끼가 거의 없는 것 같음 살 찌면 입을 수 있을지 자신 색은 딱 예쁜 중청이 고 버뮤다 팬츠 초심 자용으로 굿 디테일도 즉당함 가성비템이라고 생각,,"사이즈, 스판끼, 자용, 중청, 탑승","가성비, 골반걸치다, 귀엽다, 당하다, 디테 일도, 많이크다, 바지냄새많이나다, 사도, 사이즈, 색, 스판끼, 요약, 이라고, 자용, 중청, 지대, 초심, 탑승, 팬츠, 하고"
여행가서 입으려고 샀는데 허리 사이즈도 그렇고 바지 통도 그렇고 너무 만족스러워요, 사이즈,"그렇다, 만족스럽다, 바지, 사이즈, 여행가, 통, 허리","그렇다, 넉넉, 만족스럽다, 바지, 사이즈, 시원, 여름, 여행가, 통, 핏, 허리"
길이가 긴 버뮤다를 찾고 있어서 샀는데 무릎 살짝 밑까지 오는 딱 제가 원하던 길이 입니다 허리는 좀 크지만 골반에 걸려서 흘러내리진 않아 요 완전 맨날 입는 중이에 요 주변에서 예쁘다고 했어요 완전 추천,,"골반, 주변, 찾다, 추천, 크다, 흘러내리다","걸리다, 골반, 기장, 길이, 데님쇼츠, 맨날, 무릎, 밑, 반바지, 버뮤다, 오다, 원하다, 주변, 중이, 찾다, 추천, 크다, 허리, 흘러내리다"
오버핏 카라티에 매칭 해보았슴돠 너무 이 쁘지 않나요 이건 꼭 사셔야 하는 아이템입니다 실제로 입어보면 훨씬 이쁩니다 미쳤습니다 주변 사람들도 너무 이쁘다고 합니다 옷 색감도 좋고 옷도 매우 편한 폄입니다 예약 배송이여서 좀 기다리 긴 했지만 기 다린 만큼 더 매력적인 바지 입니다,,"매칭, 아이템, 이건, 입어보다","다리, 다린, 만능바지, 매력, 매칭, 미치다, 바지, 배송, 사람, 슴돠, 실제, 아이템, 예약, 이건, 입어보다, 주변, 카라, 커버, 펴다, 편하다"
사이즈 착용했습니다 사이즈랑 바지 핏 너무 예쁘구요 코디하기 어려울 줄 알았는데 어디에 입어도 예뻐요 바람막이에 입으면 더 예쁠 거 같네요,,"바람막이, 바지, 사이즈, 어리다, 착용, 코디","구기다짐, 기장, 냄새, 단추, 바람막이, 바지, 사이즈, 색감, 알다, 어리다, 지퍼, 착용, 코디, 핏"
사이즈는 가장 작은 사이즈 샀어요 옷은 색이랑 디자인은 너무 예쁜데 허리 사이즈가 큰 게 좀 아쉬워요 그래도 흘러내리는 정도는 아니여서 벨트 매서 입으면 괜찮아요 좋지는 않은 냄새가 나서 세탁 했는데도 미세하게 남아서 몇 번 더 세탁하면 사라질 거 같아 요 줄어들거나 색 빠짐은 없었어요 배송 빨랐구요 가볍게 코디하기에 너무 예쁜 바지네요,,"매다, 사이즈, 세탁, 줄어들다, 흘러내리다","가볍다, 기장, 길다, 나서다, 남아, 냄새, 디자인, 매다, 미세하다, 바지, 사라지다, 사이즈, 색, 세탁, 아니다, 얇다, 여름, 입문, 작다, 줄어들다, 흘러내리다"
