Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
너무 편해요 이너로도 입기 좋고 여름 반팔용으로도 좋습니다 팔기장이나 핏이 살짝 여유롭게 입는 제 맘에 들었습니다 시 원시원한 재질이라 자주입는 반팔들 중 하나가 됐습니다 혹시 옆구리를 설명 택 같은 게 많이 찌르는데 옷 잘 입는 형님들은 이 거 자르시나요 솔직히 이 거 빼고 다 최 애입니다, 형님,"빼다, 설명, 솔직하다, 옆구리, 자르다, 재질, 형님","기장, 빼다, 설명, 솔직하다, 시원시원하다, 애, 여름, 여유롭다, 옆구리, 원시, 원시 원한, 원한, 으로도, 이너, 자르다, 재질, 찌르다, 최애, 택같은, 팔, 팔기장, 편하다, 핏, 형님"
진짜 겁나 시원하고 가성비 진짜 임 막 입어도 예쁜 옷이랄까,,"가성비, 겁나다, 끄다, 시원하다","가성비, 겁나다, 끄다, 랄, 랄 끄다, 시원, 시원하다"
쿨 코튼이라더니 진짜 입으면 좀 시원한 질감이에요 완전 신기하고 품이 해서 엄마가 훔쳐가 버렸어요 또 구매하겠습니다, 엄마,"더니, 시원하다, 신기하다, 엄마, 질감, 품, 훔치다","더니, 버리다, 시원하다, 신기하다, 엄마, 이에요, 질감, 코튼, 코튼 더니, 쿨코튼, 품, 훔치다"
다들 크다길래 평소 입 다 사이즈 시켰는데 딱 정 사이즈 나오네요,,"나오다, 사이즈, 크다, 평소","S, m, 나오다, 사이즈, 정사이즈, 크다, 평소"
기본으로 하나씩 가지고 있기 좋네요 옷도 부드럽고 편해서 자주 손이 가요 흰색도 예쁘고 검은색 도 예뻐요,,"가지, 검은색, 기본, 부드럽다, 손, 편하다, 흰색","가요, 가지, 검은색, 기본, 부드럽다, 손, 편, 편하다, 하나, 흰색"
배송도 빨리 오고 가성비 갑이에요 잘 입고 다닐께여, 가성비,"가성비, 갑, 배송, 오다","가성비, 갑, 배송, 빨리, 빨리오다, 오다, 이에요"
커버낫 옷 처음 사 봤는데 옷 감촉 무엇 부드럽고 느낌도 좋은데 질도 좋아 보입니다 후줄근한 느낌이 들 지 않아서 너무 좋아요 다른 색상도 더 구입하고 싶어요 블랙과 화이트 기본템 득템," 후줄근하다,  블랙","감촉, 기본, 득템, 보이다, 부드럽다, 블랙, 색상, 질도, 처음, 하고, 화이트, 후줄근하다","감촉, 기본, 낫, 득템, 보이다, 부드럽다, 블랙, 색상, 싶다, 지다, 질도, 처음, 커버, 커버낫, 하고, 화이트, 후줄근하다"
기본 티로 입을 게 필요했는데 마침 세일해서 저렴하게 샀어요 편하고 좋습니다,,"기본, 마침, 세일, 저렴하다, 티, 편하다, 필요하다","기본, 기본티, 마침, 세일, 일해, 저렴하다, 티, 편하다, 필요하다"
처음 사보는데 마음에 들어 요 시원한 재질이라 땀 흡수도 잘 될 것 같아요," 흡수,  시원하다,  처음","사보다, 시원하다, 재질, 처음, 흡수","되다, 땀, 사보다, 시원하다, 재질, 처음, 흡수"
할인하니 가성비 너무 좋네요 재질은 두껍지도 얇지도 않아 여름용으로 딱이구요 세탁 후 변형도 없고 완전 맘에 듭니다, 재질,"가성비, 두껍다, 딱이다, 변형도, 세탁, 얇다, 여름, 재질, 할인","가성비, 두껍다, 듭니, 딱이다, 변형도, 세탁, 세탁후, 얇다, 여름, 재질, 할인"
할인해서 너무 저렴한 가격에 구입했어요 사이즈 해서 편하게 입을 듯합니다 세탁 후에도 변형 없고 필링도 안 생기네요 가격 대비 완전 좋아요," 가격,  사이즈","가격, 변형, 사이즈, 생기다, 세탁, 저렴하다, 편하다, 필링, 할인","가격, 가격대비, 넉넉, 대비, 변형, 사이즈, 생기다, 세탁, 저렴, 저렴하다, 편하다, 필링, 할인"
소재가 맘에 들어 요한 치 수 큰 것도 박시하게 이 쁠 것 같아요,,"박다, 소재, 요한","박다, 소재, 요한, 치수, 크다"
가격 대비 좋아요 올 여름도 이걸로 잘 보내겠습니다, 가격,"가격, 대비, 보내다, 여름","가격, 걸, 대비, 보내다, 여름, 오다"
할인해서 너무 저렴한 가격에 구입했어요 사이즈 해서 편하게 입을 듯합니다 세탁 후에도 변형 없고 필링도 안 생기네요 가격 대비 완전 좋아요," 가격,  사이즈","가격, 변형, 사이즈, 생기다, 세탁, 저렴하다, 편하다, 필링, 할인","가격, 가격대비, 넉넉, 대비, 변형, 사이즈, 생기다, 세탁, 저렴, 저렴하다, 편하다, 필링, 할인"
