Review,common_keywords_all,common_keywords_3_plus,all_keywords_combined
여기저기 스타일링 하기 좋아요 편하구 여름에 자주 입을 것 같습니당, 편하다,"니당다, 여기저기, 여름, 일링, 편하다","니당다, 스타, 스타 일링, 스타일링, 여기저기, 여름, 일링, 편하다"
가격 디자인 소재 너무 마음에 들어 요 블랙 베이지 둘 다 구매했어요 사이즈가 고민되어 둘 다 구매했는데 사이즈 선택했어요 저한테는 핏이 가 더 예뻤고 허리는 단추 하나 줄이면 딱이네요 기 장수선은 필요하네요 제 키에는 이미지 사진보다 좀 더 환하게 나왔는데 사진보다는 좀 더 베이지이고 이 뻐요, 이미지,"디자인, 베이지, 사이즈, 사진, 선택, 소재, 이미지, 키, 환하다","가격, 단추, 되어다, 디자인, 베이지, 보다는, 블랙, 사이즈, 사진, 선택, 소재, 에는, 이미지, 장수, 장수 선, 장수선, 키, 테, 필요, 필요하다, 핏, 하나, 허리, 환하다"
무탠다드 매장에서 입어보고 인터넷이 더 저렴하길래 구입했어요 집 사람 보통 사이즈 입는데 잘 맞는다네요," 맞다,  보통,  인터넷","맞다, 매장, 보통, 사람, 사이즈, 인터넷, 입어보다, 저렴하다","맞다, 매장, 보통, 사람, 사이즈, 인터넷, 입어보다, 저렴, 저렴하다, 집"
카고 롱 스커트 사고 싶어서 무신사 매장 가서 입어 보고 반해서 샀어요, 보고,"가다, 매장, 물다, 반하다, 보고, 사고, 스커트, 카","가다, 롱, 매장, 물다, 반하다, 보고, 사고, 스커트, 싶다, 카"
조금 하게 맞아요 사이즈였으면 더 이쁘게 맞았을 것 같아 요 허리 사이즈 조절이 가능해서 좋아요, 가능하다,"가능하다, 맞다, 사이즈, 조절, 허리","가능하다, 맞다, 사이즈, 조절, 허리"
아무 때나 잘 입을 수 있어요 편한데 이 쁘고 딱 좋아요,펴다,펴다,"수, 펴다"
디테일이 아주 좋은 카고 롱 스커트에 요 자체적으로 허리를 줄 일 수 있는 단추 같은 게 있지만 허리가 아주 얇으신 분들은 꼭 로 주문하시는 걸 추천합니다," 스커트,  단추","단추, 스커트, 얇다, 자체, 주문, 추천, 카, 허리","단추, 디테, 디테 일이, 디테일, 롱, 분, 스커트, 얇다, 일이, 자체, 주문, 줄이다, 추천, 카, 허리"
요즘 엉덩이 운동을 열심히 해서 그런 가 조금 껴서 아쉽지만 가격에 비해 질도 좋고 디테일도 맘에 들어 요,,"가격, 그렇다, 끼다, 디테, 아쉽다, 엉덩이, 운동, 일도, 질도","가격, 그렇다, 끼다, 디테, 디테 일도, 디테일, 비다, 아쉽다, 엉덩이, 열심히, 운동, 일도, 질, 질도"
얇은 소재라 봄 여름 잘 입을 수 있을 것 같아 요 잠그는 부분이 단추라 아쉽긴 해요 힙이 큰 편이라 사이즈 고민했는데 여유가 제법 있네요 허리가 많이 남지만 단추로 조절하이 딱 좋아요," 편이,  단추,  여유","고민, 단추, 부분, 사이즈, 소재, 아쉽다, 얇다, 여유, 잠그다, 제법, 편이, 허리","고민, 남지, 단추, 봄, 부분, 사이즈, 소재, 수, 아쉽다, 얇다, 여름, 여유, 잠그다, 제법, 조절 하이, 조절하이, 크다, 편이, 하이, 허리, 힙"
음 일단 모델 분이 저보다 마르신데 를 입었길래 저도 똑같이 샀는데 허리가 너무 커요 다행히 옆에 단추를 옮겼더니 그나마 나아서 입을 려고 요 질감이나 입었을 때 느낌은 정말 좋아요 길이는 기준으로 해도 길었습니다,,"그나마, 기준, 길이, 나다, 다행하다, 모델, 옮기다, 질감, 크다, 허리","그나마, 기준, 길다, 길이, 나다, 다행하다, 단추, 똑같이, 려고, 마르, 마르 신다, 마르다, 모델, 신다, 옮기다, 질감, 크다, 해도, 허리"
색감도 안 흔하고 디자인도 예뻐서 여름에 아주 잘 입고 다넜어요 재질도 얇아서 입기 시원해 요 초반 분들은 기장은 엄청 길 거 같아 요 생각보다 길어서 사이즈도 후반까지는 기 장 괜찮은 듯,,"기장, 디자인, 사이즈, 색감, 시원하다, 얇다, 여름, 재질, 흔하다","기장, 다넜어, 디자인, 사이즈, 색감, 시원, 시원하다, 얇다, 여름, 재질, 초반, 후반, 흔하다"
