Review,Processed_Review,common_keywords_all,common_keywords_3_plus
생각한 것보다 얇지않고 두께감이 있어서 조앗서용,생각한 것보다 얇지 않고 두께감이 있어서 조앗서용,,"두께감, 얇다"
재질도 탄탄하고 사이즈도 적당해서 좋아욥! 간절기에 자주 입을 것 같습니다,재질도 탄탄하고 사이즈도 적당해서 좋아욥 간절기에 자주 입을 것 같습니다," 재질,  사이즈","간절기, 사이즈, 욥, 재질, 적당하다, 탄탄하다"
그냥 누구나 소화 가능한 국롤 후드티~ 사이즈는 오버하게 가면 귀여운듯,그냥 누구나 소화 가능한 국론 후드티 사이즈는 오버하게 가면 귀여운 듯," 귀엽다,  국론,  가면","가능하다, 가면, 국론, 귀엽다, 그냥, 사이즈, 소화, 오버, 후드"
쟝쟝커여 아빠옷같다 근데 모자는 장장 작음 내머리가 큰건가,쟝쟝커여 아빠 옷 같다 근데 모자는 장장 작음 내 머리가 큰 건가," 건가,  모자,  작다","건가, 머리, 모자, 아빠, 작다, 장장, 쟝쟝커, 크다"
휘뚜루마뚜루 잘 입겠습니다~ 사이즈도 너무 딱 맞습니다 ,휘뚜루마뚜루 잘 입겠습니다 사이즈도 너무 딱 맞습니다,,"맞다, 사이즈, 휘뚜루마뚜루"
핏감이 넉넉하게 떨어지고 착용감도 부드러워서 만족합니다,핏 감이 넉넉하게 떨어지고 착용감도 부드러워서 만족합니다," 떨어지다,  넉넉하다","넉넉하다, 떨어지다, 만족하다, 부드럽다, 착용"
"약간 여자중에 저처럼 어깨가 좀 있는 사람들은 입으니까 부해보이는 거 같기도 해요 ㅎ,, 그래도 나름 이쁜 편이라 자주 입었습니당",약간 여자 중에 저처럼 어깨가 좀 있는 사람들은 입으니까 부해 보이는 거 같기도 해요 그래도 나름 이쁜 편이라 자주 입었습니다,,"나름, 보이다, 여자, 처럼, 편이"
편하게 입기 좋고 아무옷이나 다 잘어울려서 데일리로 입기좋아요!,편하게 입기 좋고 아무 옷이나 다 잘 어울려서 데일리로 입기 좋아요, 편하다,"데일리, 어울리다, 편하다"
과감한 오버핏으로 L사이즈로 갈까 무난하게 M사이즈로 갈까 고민하다가 평소 입는대로 M샀더니 역시 사람은 하던대로 해야되네여 딱 좋아요! 오버핏 좋아하는데 너무 큰건 또 싫어서 저한텐 M이 딱인듯! 지퍼 YKK 아니여서 아쉽다는 글 많이 봤는데 딱히 신경쓰지않았지만 막상 제가 지퍼 올려보니 왜 아쉽다고 하는지 알겠어요ㅠ 그치만 이쁘니까 햅격🤩,과감한 온 버핏으로 L 사이즈로 갈까 무난하게 M사이즈로 갈까 고민하다가 평소 입는 대로 M 샀더니 역시 사람은 하던 대로 해야 되네요 딱 좋아요 오버핏 좋아하는데 너무 큰 건 또 싫어서 저한텐 M이 딱인 듯 지퍼 YKK 아니어서 아쉽다는 글 많이 봤는데 딱히 신경 쓰지 않았지만 막상 제가 지퍼 올려보니 왜 아쉽다고 하는지 알겠어요 그렇지만 이쁘니까 햅격,,"갈다, 고민, 과감, 막상, 무난, 사이즈, 신경, 싫다"
제 스펙가지고있는분들 L사이즈로 가시면 오버핏으로 정확하게 떨어집니다 건조기 돌릴꺼면xl도 고민해봐요,제 스펙 가지고 있는 분들 L 사이즈로 가시면 온 버핏으로 정확하게 떨어집니다 건조기 돌릴 거면 xl도 고민해 봐요, 건조기,"xl, 가시, 가지, 건조기, 고민, 돌리다, 떨어지다, 사이즈, 정확하다"
