Review,Processed_Review,common_keywords_all,common_keywords_3_plus
생각보다 재질도 두껍고  원단도 마음에들어요 역시 커버낫이 질이좋은거같아요 다음에 또 주문하겠습니다 사이즈 딱 맞고 착용감도 좋아요,생각보다 재질도 두껍고 원단도 마음에 들어요 역시 커버 낯이 질이 좋은 거 같아요 다음에 또 주문하겠습니다 사이즈 딱 맞고 착용감도 좋아요," 재질,  사이즈","두껍다, 맞다, 사이즈, 원단, 재질, 주문, 질, 착용"
"시원한 재질이고, 사이즈는 편합니다. 착한 가격에 구매했습니다.",시원한 재질이고 사이즈는 편합니다 착한 가격에 구매했습니다," 시원하다,  가격","가격, 사이즈, 시원하다, 이고, 재질, 착하다, 편하다"
너무 마음에 들어요 쿨코튼이라 그렂지 재질도 굿굿입니다,너무 마음에 들어요 쿨 코튼이라 그렂지 재질도 굿군입니다,,"그렂, 재질, 코튼"
학교 다닐 때 입기 좋고 할인할 때 사서 가성비도 굿입니다 ♡ 디자인도 깔끔하고 배송도 빨라서 여름내내 잘 입었던 것 같아요 건조기 돌리니까 옷이 줄어들더라구요 옷 줄어드는 거 싫으신 분들은 조심해주세요! 전 체구가 작아서 크게 상관 없었던 것 같습니다 :) 구매 후회 안 해요 ♥,학교 다닐 때 입기 좋고 할인할 때 사서 가성비도 굿입니다 디자인도 깔끔하고 배송도 빨라서 여름 내내 잘 입었던 것 같아요 건조기 돌리니까 옷이 줄어들더라고요 옷 줄어드는 거 싫으신 분들은 조심해 주세요 전 체구가 작아서 크게 상관없었던 것 같습니다 구매 후회 안 해요,,"건조기, 디자인, 배송, 상관없다, 작다, 조심하다, 줄어들다, 학교, 할인"
사계절내내 잘 입고 있는 커버낫 기본티! 추가 구매했습니당 소재도 시원하니 너무 좋고 아무리 세탁해도 변형없어서 넘모 좋은ㄱ ㅓ 같아요,사계절 내내 잘 입고 있는 커버나 기본 티 추가 구매했습니다 소재도 시원하니 너무 좋고 아무리 세탁해도 변형 없어서 넘고 좋은 같아요, 소재,"내내, 넘다, 세탁, 소재, 커버"
큘 면티 후기보고 구매 맘에 들어요 휜색음 이너용 검정색은 걍티로 입어요,쿨 면 티 후기 보고 구매 맘에 들어요 휜 색음 이 너요 검은색은 걍티로 입어요,,"검은색, 보고, 색음, 티, 후기"
화면에서 보던 색상 그대로고 사이즈도 적당히 잘 맞아요.,화면에서 보던 색상 그대로고 사이즈도 적당히 잘 맞아요, 색상,"그대, 로고, 맞다, 사이즈, 색상, 적당하다, 화면"
좋아요 다시 구매하고 싶을정도입니다 잘입을게요,좋아요 다시 구매하고 싶을 정도입니다 잘 입을게요,,다시
배송이 빨라서 좋았고 디자인 무난하고 좋았어요 색감도 보던거랑 똑같이 괜찮네요 우선 촉감도 괜찮은거 같고 색만 안 빠지면 괜찮은거같아요 ,배송이 빨라서 좋았고 디자인 무난하고 좋았어요 색감도 보던 거랑 똑같이 괜찮네요 우선 촉감도 괜찮은 거 같고 색만 안 빠지면 괜찮은 거 같아요,,"디자인, 무난, 배송, 빠지다, 색감, 촉감"
여름에 시원한티가 필요해서 두장 구매했습니다,여름에 시원한 티가 필요해서 두 장 구매했습니다,,"시원하다, 여름, 티, 필요하다"
