Review,Processed_Review,common_keywords_all,common_keywords_3_plus
"받자마자 색깔 보고 당황했어여 생각보다 너무 탁하고 흐려서. 색상 잘못 온 건가 싶었는데 그건 아니더라고요… 그리고 너무 얇아서 여름용으로 잘못 온 건가 진짜 고민 많이 했는데 잘 온 것 같았구요.
허리 실측은 나와있는 것보다 훨씬 작아요 근데 다행히 저한텐 적당히 잘 맞더라고요 진짜 색상 때문에 잘 못 입을 줄 알았는데 벌써 세 번이나 입고 나감 ㅋㅋ",받자마자 색깔 보고 당황했어요 생각보다 너무 탁하고 흐려서 색상 잘못 온 건가 싶었는데 그건 아니더라고요 그리고 너무 얇아서 여름용으로 잘못 온 건가 진짜 고민 많이 했는데 잘 온 것 같았고요 허리 실측은 나와있는 것보다 훨씬 작아요 근데 다행히 저한텐 적당히 잘 맞더라고요 진짜 색상 때문에 잘 못 입을 줄 알았는데 벌써 세 번이나 입고 나감,,"다행하다, 당황, 벌써, 색상"
바지 진쫘 너무 맛있네염ㅋㅋ 냠냠 쩝쩝 맛있게 잘 입을게요!,바지 진짜 너무 맛있네요 냠냠 쩝쩝 맛있게 잘 입을게요,,"냠냠, 맛있다, 바지, 쩝쩝"
"평소 바지 28인치 입는데 허리딱 이고, 적당히 얇아서 딱 여름에 입기 좋을듯해요! 밑위도 넉넉해서 편합니당",평소 바지 인치 입는데 허리 딱이고 적당히 얇아서 딱 여름에 입기 좋을듯해요 밑위도 넉넉해서 편합니다,,"넉넉하다, 딱이다, 바지, 얇다, 여름, 위도, 적당하다, 편하다, 평소, 허리"
바지는 진짜 이쁜데 총장 길이가 왜케 짧죠..? 사이즈표 적혀있는것 보다 3cm 더 적은 듯 그래서 엄청 내려서 입게 되네욬ㅋㅋ그게 빼곤 다 만족합니다,바지는 진짜 이쁜데 총장 길이가 왜 이렇게 짧죠 사이즈 표 적혀있는 것보다 cm 더 적은 듯 그래서 엄청 내려서 입게 되네욬그게 빼곤 다 만족합니다,,"내다, 되네욬그, 만족하다, 빼다, 적다, 짧다, 총장"
"하비타입이라 통이 넓은 바지를 찾고있었는데 딱이에요!
너무 맘에들고 기장도 적당해요
다리가 길어보이고 하체가 가려져서 매우만족중",하비 타입이라 통이 넓은 바지를 찾고 있었는데 딱이에요 너무 맘에 들고 기장도 적당해요 다리가 길어 보이고 하체가 가려져서 매우 만족 중,,"기장, 길다, 만족, 바지, 보이, 찾다, 타입"
"통큰거 사고싶어서 샀는데 만족이예요
길이는 너무 길어서 잘랐습니다",통 큰 거 사고 싶어서 샀는데 만족이에요 길이는 너무 길어서 잘랐습니다,,"길이, 만족, 사고, 자르다"
일단 핏이랑 색감이 정말 예쁘고 한 여름 빼곤 모든 계절 다 잘 입을 것 같아요! 잘 산 것 같습니다,일단 핏이랑 색감이 정말 예쁘고 한 여름 빼곤 모든 계절 다 잘 입을 것 같아요 잘 산 것 같습니다,,"계절, 모든, 빼다, 색감, 여름, 핏"
반신반의 하면서 구매했는데 예쁩니다!! 길이가 살짝 길긴 한데 굽 있는 신발 신으면 좋을 것 같아요,반신반의하면서 구매했는데 예쁩니다 길이가 살짝 길긴 한데 굽 있는 신발 신으면 좋을 것 같아요,,"길다, 길이, 반신반의, 신다, 신발"
히힣 엄청 좋아용!!! 배옷ㅇ 엄청 빨리 왔어요!!! 그래서 놀렀습니당ㅇ 헿 꼭 시키세요요!!! 핏 ×(짱ㅇㅇㅁ헷!!,히힣 엄청 좋아요 베옷 엄청 빨리 왔어요 그래서 놀렀습니당 헿 꼭 시키세요요 핏 짱헷,,"놀렀습니당, 베옷, 빨리, 오다, 짱헷, 키세"
제 몸무게 비슷하신데 배가 나오신 분들은 s 사시길.. xs는 좀 낑겨요ㅠㅠ.. 그래도 이뻐요!! 기장도 딱 적당하고 여름에 잘 입고 다닐거같습니다,제 몸무게 비슷하신데 배가 나오신 분들은 s 사시길 xs는 좀 끼여요 그래도 이뻐요 기장도 딱 적당하고 여름에 잘 입고 다닐 거 같습니다, 적당하다,"기장, 늘다, 몸무게, 분, 여름, 적당하다"
"와이드라 s 사이즈는 전체적으로 너무 클것같아서 
원래 입는 사이즈로 xs 선택했는데 딱 맞아요. 
근데 길이가 좀 짧고 통이 커서 다리 많이 짧아 보여요.
실측해보니 사이즈표 보다는 짧아요ㅠ
길이땜에 다른색은 S로 하고 벨트하면 될것같아요.
그리고 중심선이 비대칭인데 귀차나서 그냥 입어요.
옷은 냄새가 좀 나서 바로 세탁하거나 몇일 걸어둬야 빠질듯.",와이드라 s 사이즈는 전체적으로 너무 클 것 같아서 원래 입는 사이즈로 xs 선택했는데 딱 맞아요 근데 길이가 좀 짧고 통이 커서 다리 많이 짧아 보여요 실측해 보니 사이즈 표보다는 짧아요 길이 땜에 다른 색은 S로 하고 벨트 하면 될 것 같아요 그리고 중심선이 비대칭인데 귀찮아서 그냥 입어요 옷은 냄새가 좀 나서 바로 세탁하거나 며칠 걸어둬야 빠질 듯,,"거나, 길이, 며칠, 사이즈, 중심선"
"처음에 봤을때 엄청 크다고 생각했는데 막상 입으니까 딱 좋고 허리는 좀 큰데 벨트 하니까 진짜 예쁘고 핏도 좋아요!!
진짜 레전드 바지 인정이요",처음에 봤을 때 엄청 크다고 생각했는데 막상 입으니까 딱 좋고 허리는 좀 큰데 벨트 하니까 진짜 예쁘고 핏도 좋아요 진짜 레전드 바지 인정이요,,"레전드, 막상, 바지, 벨트, 인정이, 처음, 크다, 허리"
크다는 후기가 많아서 걱정반으로 옷 받았는데 통이너무 큰것같아서 걱정했어여...근데 입었는데 와...인생바지 찾았네요 두께감도 적당해서 여름내내입겠어여 두개 샀는데 하나더사려고여....당분간 이바지만 입을것같아요ㅜ마르고 키작으신분들은 xs사이즈 사도 충분할것같아여 길이는 에어포스 신었을때 신발 살짝 밑까지 내려옵니다!!,크다는 후기가 많아서 걱정반으로 옷 받았는데 통이 너무 큰 것 같아서 걱정했어요 근데 입었는데 와인 생바지 찾았네요 두께감도 적당해서 여름 내내 입겠어요 두 개 샀는데 하나 더 사려고 여 당분간 이바지만 입을 것 같아요 마르고 키 작으신 분들은 xs 사이즈 사도 충분할 것 같아요 길이는 에어 포스 신었을 때 신발 살짝 밑까지 내려옵니다,,"내려오다, 당분간, 마르고, 바지, 사려, 사이즈, 와인, 이바, 작다"
