Review,Processed_Review,common_keywords_all,common_keywords_3_plus
사이즈는 좀 크지만 디자인이 예뻐서 마음에 들어요 ,사이즈는 좀 크지만 디자인이 예뻐서 마음에 들어요, 디자인,"디자인, 사이즈, 크다"
디자인이 너무 예쁘고 배송도 나쁘지 않았어요 사이즈는 좀 큰데 괜찮아요,디자인이 너무 예쁘고 배송도 나쁘지 않았어요 사이즈는 좀 큰데 괜찮아요," 디자인,  배송","나쁘다, 디자인, 배송, 사이즈, 크다"
생각보다 옷의 디자인이 맘에 들지 않지만 괜찮게 입고 있습니다,생각보다 옷의 디자인이 맘에 들지 않지만 괜찮게 입고 있습니다,디자인,디자인
배송 빠르고 포장도 깔끔해요 사이즈 잘 맞고 이쁘네요,배송 빠르고 포장도 깔끔해요 사이즈 잘 맞고 이쁘네요, 배송,"깔끔하다, 맞다, 배송, 빠르다, 사이즈, 포장"
깔끔하고 포인트 살짝 있어서 무난하게 입기 좋은 것 같아요,깔끔하고 포인트 살짝 있어서 무난하게 입기 좋은 것 같아요, 포인트,"깔끔하다, 무난, 포인트"
세탁후 변형은 많이 없으며 배송이 빨라서 매우 좋았습니다,세탁 후 변형은 많이 없으며 배송이 빨라서 매우 좋았습니다,,"배송, 변형, 세탁, 없다"
디자인이 매우 맘에 듭니다 색감은 화면과 비슷하지만 합리적인 가격은 아닌듯 합니다,디자인이 매우 맘에 듭니다 색감은 화면과 비슷하지만 합리적인 가격은 아닌듯합니다, 디자인,"가격, 디자인, 색감, 아니다, 합리, 화면"
"여름에 입기 좋고, 뒷면 넥라인에 텍으로 심심하지 않게 디자인이 들어가서 좋은거 같아요! 그리고 커플들이 입기 좋은거 같아요.",여름에 입기 좋고 뒷면 넥 라인에 텍으로 심심하지 않게 디자인이 들어가서 좋은 거 같아요 그리고 커플들이 입기 좋은 거 같아요, 여름,"들어가다, 디자인, 라인, 심심하다, 여름, 커플"
핏 자체가 너무 잘나왔어요 여름에 그냥 아무바지에다가 코디해도 그냥 너무 이쁘네요!,핏 자체가 너무 잘 나왔어요 여름에 그냥 아무 바지에다가 코디해도 그냥 너무 이쁘네요,,"그냥, 나오다, 바지, 에다가, 여름, 자체, 코디, 해도"
살짝 사이즈가 크긴한데 예뻐서 자주 입고 더니고 잇어ㅛ,살짝 사이즈가 크긴 한데 예뻐서 자주 입고 더니고 있어,,"더니, 사이즈, 크다"
사이즈도 여유잇고 컬러감이 좋아 잘 활용할거같습니다,사이즈도 여유 잇고 컬러감이 좋아 잘 활용할 거 같습니다,,"사이즈, 여유, 잇다, 컬러, 활용"
사이즈도 넏넉하고 컬러감이 좋아서 잘 활용할거같습니다,사이즈도 넏넉하고 컬러감이 좋아서 잘 활용할 거 같습니다,,"넏넉, 사이즈, 컬러, 활용"
앞에 프린팅이 너무 마음에 듭니다 제 사이즈는 스몰보다 미디움으로 가는게 좋아보입니다,앞에 프린팅이 너무 마음에 듭니다 제 사이즈는 스몰보다 미디엄으로 가는 게 좋아 보입니다, 프린팅,"가다, 미디엄, 보이다, 사이즈, 스몰, 프린팅"
생각한거보닼 좀 오버한 핏이었지만 프린팅도 너무 이쁘고 퀄리티가 너무 좋아서 완전 만족합니다,생각한 거보다 좀 오버한 핏이었지만 프린팅도 너무 이쁘고 퀄리티가 너무 좋아서 완전히 만족합니다,,"만족하다, 오버, 완전하다, 퀄리티, 프린팅, 핏이었"
티 재질도 괜찮고 편하게 입기 좋은 옷입니다 사세용,티 재질도 괜찮고 편하게 입기 좋은 옷입니다 사세요,편하다,"재질, 편하다"
큐트보이로 한껏 성장할수있는 옷입니다 사세요,큐트 보일보 한껏 성장할 수 있는 옷입니다 사세요,,"성장하다, 일보, 큐트, 한껏"
디자인이 마음에 들어요 커플템으로 잘 쓰고 있습니다~,디자인이 마음에 들어요 커플 템으로 잘 쓰고 있습니다,,"디자인, 쓰다, 커플"
우선 배송이 빨라서 입기 전부터 기분이 좋았습니다. 프린팅이 아주 예뻐서 구매하였는데 옷을 입어보니 합리적인 가격이라고 생각이 들었습니다. 너무 마음에 듭니다. 세탁 해도 변형도 없고 속 비침도 없습니다. 잘 입겠습니다.,우선 배송이 빨라서 입기 전부터 기분이 좋았습니다 프린팅이 아주 예뻐서 구매하였는데 옷을 입어보니 합리적인 가격이라고 생각이 들었습니다 너무 마음에 듭니다 세탁해도 변형도 없고 속 비침도 없습니다 잘 입겠습니다,,"가격, 배송, 변형도, 비침, 세탁, 이라고, 입어보다, 프린팅, 합리"
예쁘긴한데 길거리에 너뮤많이 보역서 후회중이에요,예쁘긴 한데 길거리에 너무 많이 봄 역서 후회 중이에요, 후회,"길거리, 역서, 중이, 후회"
여자친구랑 커플티로 같이 맞췄는데 핏도 예쁘고 너무 맘에들어요! 넥라인이 생각보다 좁은편이네요,여자친구랑 커플티로 같이 맞췄는데 핏도 예쁘고 너무 맘에 들어요 넥 라인이 생각보다 좁은 편이네요,,"라인, 여자친구, 커플티, 편이, 핏"
와우~ 디자인이 정말 예뻤습니다. 진짜 매일 입어도 안지리는 옷은 정말 오랜만이였습니다. 데님이랑 입으면 굉장히 잘 어울렸습니다. 다만 단점이 있다면 너무 예뻐서 다른 사람들과 옷이 겹칠 수 있습니다.,와우 디자인이 정말 예뻤습니다 진짜 매일 입어도 안 지리는 옷은 정말 오랜만이었습니다 데님이랑 입으면 굉장히 잘 어울렸습니다 다만 단점이 있다면 너무 예뻐서 다른 사람들과 옷이 겹칠 수 있습니다, 매일,"굉장하다, 단점, 데님, 디자인, 매일, 사람, 오랜만, 와우"
박시한 티 좋아하는데 널널하고 좋아요! 목 부분도 짱짱해서 잘 입을거 같습니다,박시한 티 좋아하는데 널찍하고 좋아요 목 부분도 짱짱해서 잘 입을 거 같습니다,,"널찍하다, 박시, 부분, 좋아하다, 짱짱하다"
"여자,남자 관계 없이 예쁘게 입을 수 있는 옷이에요 커플티로 입어도 귀여울 것 같아요",여자 남자관계없이 예쁘게 입을 수 있는 옷이에요 커플티로 입어도 귀여울 것 같아요,,"남자, 여울, 여자, 커플티"
편하고 핏이 좋아요 계속 입을거 같습니다 고마워여,편하고 핏이 좋아요 계속 입을 거 같습니다 고마워요,,"계속, 고맙다, 편하다, 핏"
입어보고 너무 만족해서 지인한테 선물까지 한 옷이에요! 그래픽이 너무 귀여워요,입어보고 너무 만족해서 지인한테 선물까지 한 옷이에요 그래픽이 너무 귀여워요," 선물,  그래픽","귀엽다, 그래픽, 만족하다, 선물, 입어보다, 지인"
보자마자 딱 찾던 그래픽이라 바로 구매했어요 기다려서 받은 보람이 있는 옷!,보자마자 딱 찾던 그래픽이라 바로 구매했어요 기다려서 받은 보람이 있는 옷,,"그래픽, 기다리다, 받다, 보람, 찾다"
디자인은 이쁜데 이게 뭔일 세탁하니 물빠짐이 좀,디자인은 이쁜데 이게 뭔 일 세탁하니 물 빠짐이 좀, 세탁,"디자인, 빠지다, 세탁"
"굉장히 예쁘고, 옷 핏도 맘에 드는 핏 입니다. 왠만한 바지들과 다 잘어울리는 옷 입니다.",굉장히 예쁘고 옷 핏도 맘에 드는 핏입니다 웬만한 바지들과 다 잘 어울리는 옷입니다,,"굉장하다, 바지, 어울리다, 웬만하다, 핏, 핏입니"
사진으로 보던것 보다 실물이 더 예쁘네요~ 어디든 잘 어울리고 입기 편하고 좋아요~ 배송도 빠르고 잘산것 같아요~ 추천합니다~,사진으로 보던 것보다 실물이 더 예쁘네요 어디든 잘 어울리고 입기 편하고 좋아요 배송도 빠르고 잘 산 것 같아요 추천합니다," 사진,  배송","배송, 사진, 실물, 어울리다, 추천, 편하다"
진짜 이뻐요! 앞 프린팅과 뒤에 텍이 바깥으로 나온 디테일이 간지네요,진짜 이뻐요 앞 프린팅과 뒤에 텍이 바깥으로 나온 디테일이 간지네요,,"간지, 나오다, 뒤, 디테, 바깥, 일이, 텍, 프린팅"
색감이 정말 예쁘고 편안한 착용감이 좋아요. 프린팅이 예쁘고 디자인도 세련되어 데일리로 입기 딱입니다! ,색감이 정말 예쁘고 편안한 착용감이 좋아요 프린팅이 예쁘고 디자인도 세련되어 데일리로 입기 딱입니다,,"데일리, 디자인, 색감, 세련되다, 착용, 편안하다, 프린팅"
목 부분이 불편한 것만 빼면 예쁘고 소재도 탄탄해서 마음에 들어요. 넥라인이 뭔가 이상한 게 입으면 양 옆 끝 부분은 들뜨고 중앙 부분은 목을 쪼매는 핏이에요. 그래서 이 옷 입을 때는 항상 머리 풀어서 넥라인 양 끝을 가리고 다닙니다.,목 부분이 불편한 것만 빼면 예쁘고 소재도 탄탄해서 마음에 들어요 넥 라인이 뭔가 이상한 게 입으면 양옆 끝부분은 들뜨고 중앙 부분은 목을 조금은 핏이에요 그래서 이 옷 입을 때는 항상 머리 풀어서 넥 라인 양 끝을 가리고 다닙니다,,"라인, 머리, 불편하다, 이상하다, 풀다"
핏이 이쁘고 맘에 듭니다.배송도 빨라서 좋습니다.,핏이 이쁘고 맘에 듭니다 배송도 빨라서 좋습니다,,"배송, 핏"
로고가 개인적으로 아주 마음에 들고 여름에 입으면 시원한 느낌주기 정말 좋을거같아요 버뮤다랑 잘 어울리고 모든곳에 잘 활용될거 같네용!! 재질은 부드럽습니다~,로고가 개인적으로 아주 마음에 들고 여름에 입으면 시원한 느낌 주기 정말 좋을 거 같아요 버뮤다랑 잘 어울리고 모든 곳에 잘 활용될 거 같네요 재질은 부드럽습니다,,"개인, 로고, 버뮤다, 부드럽다, 시원하다, 어울리다, 여름, 재질, 활용"
목부분이 탄탄하게 박음질 잘 돼있고 꽤 두꺼워서 늘어날것 같진않네요! 이쁜데 밖에서 입고 있는 사람이 종종 보이더라구요 ㅎ,목부분이 탄탄하게 박음질 잘돼있고 꽤 두꺼워서 늘어날 것 같진 않네요 이쁜데 밖에서 입고 있는 사람이 종종 보이더라고요, 늘어나다,"늘어나다, 두껍다, 박음질, 보이다, 부분, 사람, 종종, 탄탄하다"
핏도 좋고 디자인도 좋아요 한개 더 구매할 생각 있어요!,핏도 좋고 디자인도 좋아요 한 개 더 구매할 생각 있어요,,"디자인, 핏"
재질 부드럽고 시원합니다 이쁘네용 여름에 포인트 주기 좋습니다,재질 부드럽고 시원합니다 이쁘네요 여름에 포인트 주기 좋습니다, 재질,"부드럽다, 시원하다, 여름, 재질, 주기, 포인트"
프린팅이 넘 예쁘고 힙한스타일 표현하기에 딱 좋습니다 재질도 넘 좋은재질입니다,프린팅이 너무 예쁘고 힙한 스타일 표현하기에 딱 좋습니다 재질도 너무 좋은 재질입니다, 재질,"스타일, 재질, 표현, 프린팅, 힙"
무난하게 이쁩니다 잘입을게요 굿구그긔ㅜ굿굿 입니다,무난하게 이쁩니다 잘 입을게요 굿구그긔굿굿 입니다,,"굿, 무난"
디자인이쁘고 색상도 좋아요 세탁후변형은 없는것같아요 재구매했어요가격은 비싸요배송짱 빨리 왔어요,디자인 이쁘고 색상도 좋아요 세탁 후 변형은 없는 것 같아요 재구매했어요 가격은 비싸 요배송짱 빨리 왔어요," 가격,  색상,  배송","가격, 디자인, 배송, 변형, 비싸다, 빨리, 색상, 세탁, 오다, 재다"
재질: 옷이 두꺼울줄 알았는데 얇고 시원해요.  디자인: 생각보다 프린팅이 큰감은 있지만 옷은 이쁨니다  사이즈: 평소 XL옷을 입는데 이옷은 L만해도 충분해요,재질 옷이 두꺼울 줄 알았는데 얇고 시원해요 디자인 생각보다 프린팅이 큰 감은 있지만 옷은 이쁩니다 사이즈 평소 XL 옷을 입는데 이 옷은 L만 해도 충분해요,,"디자인, 사이즈, 시원하다, 얇다, 재질, 충분하다, 평소, 프린팅, 해도"
남자옷이라 그런지 옷이 커서 7부 반팔이 되지만 예뻐요 오히려 크니까 더 예쁜 것 같아요 프린팅이 맘에 들어 샀는데 잘 산 것 같습니다,남자 옷이라 그런지 옷이 커서 부 반팔이 되지만 예뻐요 오히려 크니까 더 예쁜 것 같아요 프린팅이 맘에 들어 샀는데 잘 산 것 같습니다,,"그렇다, 남자, 커서, 프린팅"
사이즈도 널널하고 레터링 디자인 넘 예쁘네요 맘에 들어요,사이즈도 널찍하고 레터링 디자인 너무 예쁘네요 맘에 들어요, 디자인,"널찍하다, 디자인, 레터, 사이즈"
배송도 빠르고 디자인도 깔끔해요. 생각했던거보다 좋아서 자주 입어요,배송도 빠르고 디자인도 깔끔해요 생각했던 거보다 좋아서 자주 입어요, 배송,"깔끔하다, 디자인, 배송, 빠르다"
너무예쁘네요.잘받았습니다 감사합니다 잘입겠습니다.,너무 예쁘네요 잘 받았습니다 감사합니다 잘 입겠습니다,받다,받다
디자인이 흔하지 않아서 괜찮게 입고 다니고 있어요,디자인이 흔하지 않아서 괜찮게 입고 다니고 있어요,,"디자인, 흔하다"
아직 안입어봤지만 잘입고다닐게요 내년에도 입을듯,아직 안 입어봤지만 잘 입고 다닐게요 내년에도 입을 듯,내년,"내년, 아직, 입어보다"
이쁩니다 빼입이 개인적으로 더 이쁩니다 많이입으세오,이쁩니다 빼입이 개인적으로 더 이쁩니다 많이 입으세요,,"개인, 빼입"
넣입도 해봤는데 이쁩니다 호호 이뻐서 많이 입을듯,넣입도 해봤는데 이쁩니다 호호 이뻐서 많이 입을 듯,,"넣다, 입도, 해봤다, 호호"
이뻐요오오 ㅎㅎ 옷 요즘 이쁜거 너무 많습니다 너입 하면 살짝아쉬워요 빼입이 이쁜듯,이뻐요 오 오 옷 요즘 이쁜 거 너무 많습니다 너 입 하면 살짝 아쉬워요 빼입이 이쁜 듯,,"많다, 빼입, 아쉽다"
프린팅이 너무 이쁘네요. 남여 상관없이 활용가능 할 것 같습니다,프린팅이 너무 이쁘네요 남녀 상관없이 활용 가능할 것 같습니다,,"가능하다, 남녀, 상관없다, 프린팅, 활용"
여름 프린팅 반팔 많이 입는데 이게 제일 이쁩니다 ,여름 프린팅 반팔 많이 입는데 이게 제일 이쁩니다,,"여름, 제일, 팔, 프린팅"
흰색 반팔 프린팅중에서 이렇게 이쁜건 처음이네요,흰색 반팔 프린팅 중에서 이렇게 이쁜 건 처음이네요,,"처음, 팔, 프린팅, 흰색"
이뻐요 잘입고있습니다 추천드릴게용 사세요 구세,이뻐요 잘 입고 있습니다 추천드릴게요 사세요 구세,,"구세, 드리다"
