Review,Processed_Review,common_keywords_all,common_keywords_3_plus
적당한 워싱에 옆면에 라인도 포인트로 있습니다.,적당한 워싱에 옆면에 라인도 포인트로 있습니다,,"라인, 옆면, 워싱, 적당하다, 포인트"
"여러가지 티셔츠에 잘 어울려요
요즘에 너무 잘 입고다니고있어요",여러 가지 티셔츠에 잘 어울려요 요즘에 너무 잘 입고 다니고 있어요,,"가지, 어울리다, 여러, 티셔츠"
이뻐요 허리가 좀 크긴 한디 줄이면 됩니다~ 카펜터 디자인이르 독특해요,이뻐요 허리가 좀 크긴 한 뒤 줄이면 됩니다 카펜터 디자인 이르 독특해요,,"독특하다, 디자인, 이르다, 줄이다, 카펜터, 크다, 허리"
버뮤다 몇개샀는데 아무래도 가격때문이지 다른 4~5만원대 데님팬츠들 보다 약간 힘이 없어요. 가격대비 카펜터디테일 버뮤다 맛보기 좋은거 같아요. 근데 이거사고 다음주 블프시작해서 1.9 됐어요. 🫠,버뮤다 몇 개 샀는데 아무래도 가격 때문이지 다른 만 원대 데님 팬츠들 보다 약간 힘이 없어요 가격 대비 카펜터 디테일 버뮤다 맛보기 좋은 거 같아요 근데 이거 사고 다음 주 불프 시작해서 됐어요,,"맛보기, 버뮤다, 불프, 원대"
실망실망... 별로예요 사고 한 번도 안 입어성요 돈 버렸어요:..,실망 실망 별로예요 사고 한 번도 안 입어 성요 돈 버렸어요,,"버리다, 번, 별로, 사고, 실망"
"새상품인데도 불구하고 택이 지워져서 배송됨, 주머니에서 먼지가 계속 나옴 디미트리블랙 처음 구매했는데 최악이였음",새 상품인데도 불구하고 택이 지워져서 배송됨 주머니에서 먼지가 계속 나옴 디미트리 블랙 처음 구매했는데 최악이었음,,"먼지, 배송, 블랙, 상품, 주머니, 지워지다, 처음, 택"
유튜브 보고 주문했ㄴ데 와 진짜 너무 예뻐요 대박임,유튜브 보고 주문했데 와 진짜 너무 예뻐요 대박임,,"대박, 보고, 유튜브, 주문"
예예 생각보다 크지않라서 넉넉히 시켜도 더ㅣㄹ듯 아니먼 내가 뚱,예예 생각보다 크지 않아서 넉넉히 시켜도 더듯 아니 먼 내가 뚱,,"넉넉하다, 덥다, 아니다, 크다"
"딱 원하는 버뮤다 핏이라 만족합니다 ㅎㅎ 
상의는 짧게 해야겠어요~!",딱 원하는 버뮤다 핏이라 만족합니다 상의는 짧게 해야겠어요,,"만족하다, 버뮤다, 상의, 원하다, 짧다, 핏"
"사이즈 낙낙하니 워싱 컬러 맘에
들어용 입다가 다른색상으로 하나더 사야겠어요",사이즈 낙낙하니 워싱 컬러 맘에 들어요 입다가 다른 색상으로 하나 더 사야겠어요,,"사이즈, 색상, 워싱, 컬러, 하나"
