Review,Processed_Review,common_keywords_all,common_keywords_3_plus
플러스배송 저녁에 주문했는데 다음날 바로 와서 좋아요 이제 정장은 정장브랜드 말고 무탠다드에서만 살려고요,플러스 배송 저녁에 주문했는데 다음날 바로 와서 좋아요 이제 정장은 정장 브랜드 말고 무탠다드에서만 살려고요, 저녁,"말고, 배송, 살리다, 에서만, 오다, 이제, 저녁, 정장, 주문, 플러스"
베이직하게 가성비로 활용하기 좋습니다. 6월까지는 덥지않게 입을수 있습니다.,베이직하게 가성비로 활용하기 좋습니다 월까지는 덥지 않게 입을 수 있습니다, 가성비,"가성비, 까지는, 덥다, 베이직, 활용"
배송 매우 빠르고 핏도 잘 맞아요 믿고 사는 무신사입니다,배송 매우 빠르고 핏도 잘 맞아요 믿고 사는 무신사입니다," 빠르다,  배송","맞다, 물다, 믿다, 배송, 빠르다, 살다, 핏"
아주잘입었습니다 얇아서 여름에도 좋네요 깔끔해용,아주 잘 입었습니다 얇아서 여름에도 좋네요 깔끔해요,,"깔끔하다, 얇다, 여름"
105입으시는분들은 xl가세욥 ㅎㅎ사이즈찰떡이네요,입으시는 분들은 xl 가세요 사이즈 찰떡이네요, 사이즈,"xl, 가세, 분, 사이즈, 찰떡"
급하게 면접보러 가야 해서 샀는데 가격대비 만족합니다ㅎㅎ,급하게 면접 보러 가야 해서 샀는데 가격 대비 만족합니다," 가격,  만족하다,  대비","가격, 가야, 급하다, 대비, 만족하다, 면접"
좀 크네요 한 여름은 어려워요 막입을 전투용으로 추천합니다,좀 크네요 한 여름은 어려워요 막 입을 전투용으로 추천합니다, 여름,"어렵다, 여름, 전투, 추천, 크다"
여름용으로 추가 구매했습니다  저는 출근시 무텐다드만입고 신발도 무텐입니다 잘맞고 시원합니다,여름용으로 추가 구매했습니다 저는 출근 시 무텐다드만입고 신발도 무텐입니다 잘 맞고 시원합니다," 추가,  맞다,  시원하다,  출근,  여름","맞다, 무텐, 무텐입니, 시원하다, 신발, 여름, 추가, 출근"
여름용으로 입기에는 살짝 더운감이 있을 거 같고 봄가을에 시원하게 입을 것 같아요!,여름용으로 입기에는 살짝 더운 감이 있을 거 같고 봄가을에 시원하게 입을 것 같아요, 시원하다,"덥다, 시원하다, 여름"
급하게 정장이 필요해서 주문 했는데 핏이나 두께 다 너무 좋네요,급하게 정장이 필요해서 주문했는데 핏이나 두께 다 너무 좋네요," 주문,  두께","급하다, 두께, 정장, 주문, 필요하다, 핏"
