Processed_Review,keyword
가다 좀 있으신 분들 평소 와이드 한 핏을 좋아하시고 즐겨 입으시는 분들 저처럼 키는 작은데 총장 길이 걱정되시는 분들 L 입으셔도 충분히 입은 핏 나옵니다 저도 M 시켰다 허벅지와 총장까지는 맞는데 뭔가 핏이 애매하더라고요 고민 반 걱정 반으로 L 시키고 오늘 입어보니 정말 만족스럽네요 정말 편하고요 자주 입을듯싶네요 저 같은 사이즈 애매하신 분들 참고하세요,"허벅지, 만족스럽다, 애매하다, 애매하다, 입어보다, 와이드, 나오다, 사이즈"
솔직히 기대 안 했는데 너무 좋아요 맨날 입을 들 많이 파세요,"솔직하다, 파다, 기대"
핏이 일반 스웨트 팬츠랑 달라서 너무 이뻐요 그리고 개편함,"팬츠, 개편 함, 달라, 일반, 핏, 스웨 트"
밑단에 스트링이 없는 게 아쉽지만 없어서 만들어 보았어요,"스트링, 만들다, 밑단, 없다, 없다, 아쉽다"
별로 안 두꺼움 두껍다는 사람들은 맨날 찰랑거리는 여름용 원짜리 회색 바지만 입으셨는지 비하 발언 아님 항아리 핏 같은 느낌한테는 버거운 굴곡임 골반 쪽이 약간 튀어나오게 고정되어 있어서 그런가 암튼 굴곡 있어서 다른 바지에 비해 다리가 짧아 보임 생각보다 길고 크지 않음 다들 엄청 크고 길다 해서 와 대체 얼마나 하고 건조기에 돌릴 각오까지 했는데 줄어드는 순간 바로 잠옷행 될듯한 느낌 근데 이건 그냥 내가 긴 바지만 입어서 그렇게 느끼는 걸지도 아직 시간도 안 입어봐서 실제로 그러한지는 모르겠으나 이것과 매우 유사한 재질의 바지를 년 이상 굴려본 결과 늘어남이 잘 없었던 경험을 토대로 이 바지 또한 잘 늘어나지 않을 것으로 예상됨 제발,"버거운, 입어보다, 재질, 그러하다, 발언, 찰랑거리다, 바지, 바지"
엄청 커요 큰 바지를 주로 입는데도 크게 느껴졌습니다 sm 중에 엄청 고민했는데 s하길 잘한 거 같아요 이 회색 트레이닝팬츠들은 항상 세탁하면 줄어드는 배신을 당했는데 이건 줄길 바라면서 바로 세탁건조 돌렸습니다 그랬더니 좀 줄은 거 같아서 다행이에요 사진은 사자마자 입은 건데 핏이 겁나 웃겼어요 알라딘 스타일,"트레이닝 팬츠, 다행, 세탁 건조, 세탁, 사진, 배신, 스타일"
통이 큰 편한 바지를 찾고 있었는데 너무 만족합니다 평소에 바지를 을 입는데 허벅지가 남아요,"평소, 만족하다, 허벅지, 바지, 편하다, 통, 남아, 찾다"
생각했던 거보다 기장이 길지 않고 잘 맞습니다 허리도 여자한테 잘 맞게 짱짱해서 오히려 당황함 남자가 입으면 허리쫑겨서 소화 안되는 거 아님 암튼 제가 딱 원하던 스타일이고 크롭 니트 크롭 카디건 크롭 맨투맨과 다 잘 어울림다 헐렁한 크롭 맨투맨이랑 입으면 꾸러기 같고 카디건이랑 입으면 여성스럽음 최신 유행 인간이 된 기분 온 턱 때문에 이바지 선택했는데 예뻐요 엉덩이 한 바가지처럼 보이긴 하는데 그마저 예쁨 만족스럽습니다,"만족스럽다, 여성 스럽다, 엉덩이, 투맨, 카디건, 투맨, 헐렁하다, 유행, 카디건"
온 턱이 잡혀 있어서 꾸안꾸로 입기 딱 좋습니다 무릎 잘 안 나온다고 해서 샀는데 더 입어봐야 알 것 같아요 생각보다 많이 두껍지 않아서 한여름 빼고 다 입을 수 있을 것 같고 밴딩 부분도 예쁘고 단단해서 크롭으로 입기도 좋습니다 컬러 쟁였어요,"크롭, 단단하다, 컬러, 잡히다, 턱, 나오다"
이런 바지 처음 사보는데 아주 편합니다 맨날 이거만 입고 다닐 듯요 세탁기 돌리면 많이 쪼그라들까 봐 걱정되네요,"편하다, 거만, 사보다, 돌리다, 바지, 이렇다, 세탁기"
