Review,Processed_Review,keyword
좀 많이 긴애 지퍼만 안 잠구면 괜찮네요 ㅎㅎ L사이즈 갈 껄 그랬어요,좀 많이 긴 애 지퍼만 안 잠그면 괜찮네요 L 사이즈 갈 걸 그랬어요,"그렇다, 갈다, 잠그다, 지퍼, 사이즈"
몇년만에 입어보는 트랙탑인데 역시는 역시입니다. 편하고 좋습니다 ,몇 년 만에 입어보는 트랙 탑인데 역시는 역시입니다 편하고 좋습니다,"만에, 입어보다, 인데, 트랙, 편하다"
사이즈 적당하고 핏이 잘빠진 거 같아요! 옷 이뻐요!!!!,사이즈 적당하고 핏이 잘빠진 거 같아요 옷 이뻐요,"잘빠지다, 적당하다, 사이즈"
아무렇게나 막 걸치기 좋아요 디자인 예쁩니다 굿굿,아무렇게나 막 걸치기 좋아요 디자인 예쁩니다 굿굿,"아무렇다, 굿굿, 걸치다, 디자인"
시보리도 탄탄하고 가격대비 만족합니다 배송도 빨랐습니다,시보리도 탄탄하고 가격 대비 만족합니다 배송도 빨랐습니다,"대비, 탄탄하다, 가격, 만족하다, 시보리, 빠르다, 배송"
생각보다 얇고 더 크기는 한데 그래도 너무 이뻐요:),생각보다 얇고 더 크기는 한데 그래도 너무 이뻐요,"크기, 얇다"
좀 크기는 한데 그래도 이쁘고 생각보다 얇긴한데 이뻐요,좀 크기는 한데 그래도 이쁘고 생각보다 얇긴 한데 이뻐요,"크기, 얇다"
올봄 교복처럼 잘 입었어요 근데 이제 남들한테도 교복이라 입고 나가면 최소 10명 이상이랑 커플처럼 보일 수 있달까요,올봄 교복처럼 잘 입었어요 근데 이제 남들한테도 교복이라 입고 나가면 최소 명 이상이랑 커플처럼 보일 수 있달까요,"처럼, 교복, 최소, 달다, 이제, 커플, 보이다, 근데"
핏이랑 원단이 너무 좋아서 오래 입을 수 있을 것 같습니다,핏이랑 원단이 너무 좋아서 오래 입을 수 있을 것 같습니다,"원단, 오래"
162에 xl 하니까 딱 이쁜 오버핏입니당 주머니에 지퍼도 달려잇어서 편해용,에 xl 하니까 딱 이쁜 오버핏입니당 주머니에 지퍼도 달려있어서 편해요,"달다, 주머니, 오버핏, 지퍼, xl, 편하다"
사이즈가 커서 팔 기장은 길지만 상품 디자인은 이뻐서 맘에 들어요~~,사이즈가 커서 팔 기장은 길지만 상품 디자인은 이뻐서 맘에 들어요,"상품, 커서, 기장, 디자인, 사이즈"
사이즈가 거의다 품절이라 2XL를 구매 하였는데 팔기장이 길지만 상품은 이뻐서 만족해요~~,사이즈가 거의 다 품절이라 XL를 구매하였는데 팔 기장이 길지만 상품은 이뻐서 만족해요,"상품, 품절, 기장, 만족하다, xl, 사이즈"
받기 전까지 계속 사이즈 걱정 했는데 아주 만족스럽네용 ,받기 전까지 계속 사이즈 걱정했는데 아주 만족스럽네요,"계속, 걱정, 만족스럽다, 받다, 사이즈"
제가 입어서 러샤 고프닉인거지 옷은 지기게 이쁩니다,제가 입어서 로샤 고프니 인 거지 옷은 지키게 이쁩니다,"로샤, 지키다, 고프다, 거지"
요즘 유행이라 샀는데 재질도 좋고 편하고 이뻐요~! ,요즘 유행이라 샀는데 재질도 좋고 편하고 이뻐요,"재질, 유행, 편하다"
여름에 샀지만 날 춥거나 흐릴때 종종 입을 수 있을 것 같아요. 잘어울려서 좋아요. 감사합니다.,여름에 샀지만 날 춥거나 흐릴 때 종종 입을 수 있을 것 같아요 잘 어울려서 좋아요 감사합니다,"종종, 흐리다, 추다, 여름, 어울리다"
아디다스 트랙탑은 뭐 근본 데일리 아이템 ㅎㅎ 가볍고 얇아서 편하고 좋습니당,아디다스 트랙 탑은 뭐 근본 데일리 아이템 가볍고 얇아서 편하고 좋습니다,"아이템, 데일리, 근본, 가볍다, 트랙, 얇다, 아디다스, 편하다"
국민 츄리링.. 정말 하나씩 쟁여두세요 짱입니다 강추,국민 츄리링 정말 하나씩 쟁여두세요 짱입니다 강추,"국민, 츄리, 두다, 강추, 하나"
다 품절이라 고민하다가 박시한 느낌으로 입으려고 구입했어요. 편해요.,다 품절이라 고민하다가 박시한 느낌으로 입으려고 구입했어요 편해요,"박시, 품절, 고민, 편하다"
사진으로 봤을땐 별로 안이뻤는데 실제로 받고보면 너무 이뻐요 편하고 좋네요!,사진으로 봤을 땐 별로 안 이뻤는데 실제로 받고 보면 너무 이뻐요 편하고 좋네요,"실제, 별로, 사진, 받다, 편하다"
오버핏으로 입으려고 샀는데 너무 예뻐요 여자친구가 뺏어입었는데 귀엽네욬ㅋ 잘 입을게요,온 버핏으로 입으려고 샀는데 너무 예뻐요 여자친구가 뺏어 입었는데 귀엽네욬 잘 입을게요,"뺏다, 귀엽다, 여자친구, 버핏"
정말 이쁘고 휘뚤마뚤 잘 입고 다닐수있어요 딱 핏하게 맞아서 좋네요!,정말 이쁘고 휘뚤마뚤 잘 입고 다닐 수 있어요 딱 피하게 맞아서 좋네요,"휘뚤마뚤, 피하, 맞다"
조금 박시하게 입고 싶어서 M시켰습니두 지퍼 안잠그면 엉덩이 가려지고 지퍼 잠그면 밴딩 짱짱해서 엉덩이 위로 올라가여 소매가 좀 긴편인데 접어서 입을 정도는 아닙니두🤓,조금 박시하게 입고 싶어서 M시켰습니두 지퍼 안 잠그면 엉덩이 가려지고 지퍼 잠그면 밴딩 짱짱해서 엉덩이 위로 올라가요 소매가 좀 긴 편인데 접어서 입을 정도는 아닙니도,"엉덩이, 잠그다, 지퍼, 가려지다, 위로, 올라가다, 박시, 밴딩, 소매, 아니다"
두께가 엄청 두껍지 않아서 쌀쌀할 때 걸치기 좋아요 사이즈가 없어서 재고 나길 기다리다가 우연히 하나 딱 풀린거 보고 샀는데 좀 크긴해요 밑단 밴딩이 워낙 짱짱해서 밑단 접어서 입으면 딱 좋아요,두께가 엄청 두껍지 않아서 쌀쌀할 때 걸치기 좋아요 사이즈가 없어서 재고 나길 기다리다가 우연히 하나 딱 풀린 거 보고 샀는데 좀 크긴 해요 밑단 밴딩이 워낙 짱짱해서 밑단 접어서 입으면 딱 좋아요,"밑단, 우연히, 재고, 워낙, 쌀쌀하다, 기다리다, 풀리다, 보고, 밴딩, 두껍다"
매우만족 감사합니다 ㅎㅎ  겨울제외 3계절로는 딱이네요 ,매우 만족 감사합니다 겨울 제외 계절로는 딱이네요,"제외, 로는, 계절, 만족, 겨울, 딱이다"
오버핏으로 크게 입기 좋아요 요즘 날씨에 입기 좋아요,온 버핏으로 크게 입기 좋아요 요즘 날씨에 입기 좋아요,"날씨, 버핏, 크게"
